"transcript_id","q_value",".transcript_raw","transcript","qvalue","ensembl_gene_id","gene_name"
"ENST00000614113.5",1.3e-32,"ENST00000614113.5","ENST00000614113",1.3e-32,"ENSG00000105974","CAV1"
"ENST00000229239.10",2.1e-32,"ENST00000229239.10","ENST00000229239",2.1e-32,"ENSG00000111640","GAPDH"
"ENST00000494074.1",4.06e-32,"ENST00000494074.1","ENST00000494074",4.06e-32,"ENSG00000143198","MGST3"
"ENST00000319248.13",5.38e-32,"ENST00000319248.13","ENST00000319248",5.38e-32,"ENSG00000117450","PRDX1"
"ENST00000310837.8",1.54e-31,"ENST00000310837.8","ENST00000310837",1.54e-31,"ENSG00000173812","EIF1"
"ENST00000478027.3",3.28e-31,"ENST00000478027.3","ENST00000478027",3.28e-31,"ENSG00000168028","RPSA"
"ENST00000216455.9",8.28e-31,"ENST00000216455.9","ENST00000216455",8.28e-31,"ENSG00000100567","PSMA3"
"ENST00000248342.9",1.03e-30,"ENST00000248342.9","ENST00000248342",1.03e-30,"ENSG00000178982","EIF3K"
"ENST00000514505.7",2.97e-30,"ENST00000514505.7","ENST00000514505",2.97e-30,"ENSG00000145741","BTF3"
"ENST00000678325.1",3.33e-30,"ENST00000678325.1","ENST00000678325",3.33e-30,"ENSG00000088832","FKBP1A"
"ENST00000378364.8",3.75e-30,"ENST00000378364.8","ENST00000378364",3.75e-30,"ENSG00000198931","APRT"
"ENST00000551217.1",3.91e-30,"ENST00000551217.1","ENST00000551217",3.91e-30,"ENSG00000089157","RPLP0"
"ENST00000552292.5",4.18e-30,"ENST00000552292.5","ENST00000552292",4.18e-30,"ENSG00000089157","RPLP0"
"ENST00000396070.6",5.27e-30,"ENST00000396070.6","ENST00000396070",5.27e-30,"ENSG00000156482","RPL30"
"ENST00000396861.5",5.38e-30,"ENST00000396861.5","ENST00000396861",5.38e-30,"ENSG00000111640","GAPDH"
"ENST00000373237.4",5.62e-30,"ENST00000373237.4","ENST00000373237",5.62e-30,"ENSG00000126067","PSMB2"
"ENST00000424576.6",9.09e-30,"ENST00000424576.6","ENST00000424576",9.09e-30,"ENSG00000089009","RPL6"
"ENST00000619951.2",1.12e-29,"ENST00000619951.2","ENST00000619951",1.12e-29,"ENSG00000275903","PSMB3"
"ENST00000545681.2",1.19e-29,"ENST00000545681.2","ENST00000545681",1.19e-29,"ENSG00000185651","UBE2L3"
"ENST00000395119.7",1.68e-29,"ENST00000395119.7","ENST00000395119",1.68e-29,"ENSG00000104529","EEF1D"
"ENST00000612074.5",1.89e-29,"ENST00000612074.5","ENST00000612074",1.89e-29,"ENSG00000088832","FKBP1A"
"ENST00000396210.8",2.42e-29,"ENST00000396210.8","ENST00000396210",2.42e-29,"ENSG00000008394","MGST1"
"ENST00000697734.1",3.9e-29,"ENST00000697734.1","ENST00000697734",3.9e-29,"ENSG00000168028","RPSA"
"ENST00000262746.5",3.94e-29,"ENST00000262746.5","ENST00000262746",3.94e-29,"ENSG00000117450","PRDX1"
"ENST00000451122.5",4.66e-29,"ENST00000451122.5","ENST00000451122",4.66e-29,"ENSG00000105974","CAV1"
"ENST00000376817.8",6.33e-29,"ENST00000376817.8","ENST00000376817",6.33e-29,"ENSG00000204628","RACK1"
"ENST00000502905.5",6.84e-29,"ENST00000502905.5","ENST00000502905",6.84e-29,"ENSG00000204628","RACK1"
"ENST00000643069.2",1.04e-28,"ENST00000643069.2","ENST00000643069",1.04e-28,"ENSG00000285246","NEDD8"
"ENST00000442551.5",1.61e-28,"ENST00000442551.5","ENST00000442551",1.61e-28,"ENSG00000101182","PSMA7"
"ENST00000469225.1",2.1e-28,"ENST00000469225.1","ENST00000469225",2.1e-28,"ENSG00000116288","PARK7"
"ENST00000620041.5",2.1e-28,"ENST00000620041.5","ENST00000620041",2.1e-28,"ENSG00000167996","FTH1"
"ENST00000578038.1",2.13e-28,"ENST00000578038.1","ENST00000578038",2.13e-28,"ENSG00000101608","MYL12A"
"ENST00000582475.1",3.41e-28,"ENST00000582475.1","ENST00000582475",3.41e-28,"ENSG00000167088","SNRPD1"
"ENST00000270142.11",5.23e-28,"ENST00000270142.11","ENST00000270142",5.23e-28,"ENSG00000142168","SOD1"
"ENST00000261700.8",9.16e-28,"ENST00000261700.8","ENST00000261700",9.16e-28,"ENSG00000087302","RTRAF"
"ENST00000228825.12",1.02e-27,"ENST00000228825.12","ENST00000228825",1.02e-27,"ENSG00000111229","ARPC3"
"ENST00000467622.2",1.02e-27,"ENST00000467622.2","ENST00000467622",1.02e-27,"ENSG00000111229","ARPC3"
"ENST00000635567.2",1.19e-27,"ENST00000635567.2","ENST00000635567",1.19e-27,"ENSG00000282986","EIF3K"
"ENST00000301587.9",1.28e-27,"ENST00000301587.9","ENST00000301587",1.28e-27,"ENSG00000167863","ATP5PD"
"ENST00000250495.10",1.96e-27,"ENST00000250495.10","ENST00000250495",1.96e-27,"ENSG00000129559","NEDD8"
"ENST00000393394.5",2.64e-27,"ENST00000393394.5","ENST00000393394",2.64e-27,"ENSG00000293319",""
"ENST00000631958.1",2.64e-27,"ENST00000631958.1","ENST00000631958",2.64e-27,"ENSG00000293319",""
"ENST00000380635.5",6.16e-27,"ENST00000380635.5","ENST00000380635",6.16e-27,"ENSG00000205542","TMSB4X"
"ENST00000380633.1",6.2e-27,"ENST00000380633.1","ENST00000380633",6.2e-27,"ENSG00000205542","TMSB4X"
"ENST00000618321.1",2.34e-26,"ENST00000618321.1","ENST00000618321",2.34e-26,"ENSG00000275214","IFI27"
"ENST00000013034.3",2.46e-26,"ENST00000013034.3","ENST00000013034",2.46e-26,"ENSG00000239672","NME1"
"ENST00000377493.9",1.4e-25,"ENST00000377493.9","ENST00000377493",1.4e-25,"ENSG00000116288","PARK7"
"ENST00000575643.1",1.81e-25,"ENST00000575643.1","ENST00000575643",1.81e-25,"ENSG00000142507","PSMB6"
"ENST00000381719.8",3.11e-25,"ENST00000381719.8","ENST00000381719",3.11e-25,"ENSG00000088832","FKBP1A"
"ENST00000037243.7",3.49e-25,"ENST00000037243.7","ENST00000037243",3.49e-25,"ENSG00000034713","GABARAPL2"
"ENST00000313104.9",3.77e-25,"ENST00000313104.9","ENST00000313104",3.77e-25,"ENSG00000089157","RPLP0"
"ENST00000445517.1",5.66e-25,"ENST00000445517.1","ENST00000445517",5.66e-25,"ENSG00000106588","PSMA2"
"ENST00000648006.3",1.07e-24,"ENST00000648006.3","ENST00000648006",1.07e-24,"ENSG00000166710","B2M"
"ENST00000374517.6",1.52e-24,"ENST00000374517.6","ENST00000374517",1.52e-24,"ENSG00000136810","TXN"
"ENST00000619426.5",1.71e-24,"ENST00000619426.5","ENST00000619426",1.71e-24,"ENSG00000277791","PSMB3"
"ENST00000578892.5",2.31e-24,"ENST00000578892.5","ENST00000578892",2.31e-24,"ENSG00000108622","ICAM2"
"ENST00000371317.10",2.75e-24,"ENST00000371317.10","ENST00000371317",2.75e-24,"ENSG00000232119","MCTS1"
"ENST00000222247.10",2.96e-24,"ENST00000222247.10","ENST00000222247",2.96e-24,"ENSG00000105640","RPL18A"
"ENST00000379542.10",2.96e-24,"ENST00000379542.10","ENST00000379542",2.96e-24,"ENSG00000137210","TMEM14B"
"ENST00000584364.5",2.99e-24,"ENST00000584364.5","ENST00000584364",2.99e-24,"ENSG00000265681","RPL17"
"ENST00000678034.1",5.64e-24,"ENST00000678034.1","ENST00000678034",5.64e-24,"ENSG00000106588","PSMA2"
"ENST00000681842.1",6.2e-24,"ENST00000681842.1","ENST00000681842",6.2e-24,"ENSG00000184009","ACTG1"
"ENST00000372635.1",7.86e-24,"ENST00000372635.1","ENST00000372635",7.86e-24,"ENSG00000166681","BEX3"
"ENST00000508682.5",7.86e-24,"ENST00000508682.5","ENST00000508682",7.86e-24,"ENSG00000204628","RACK1"
"ENST00000442995.4",7.86e-24,"ENST00000442995.4","ENST00000442995",7.86e-24,"ENSG00000242028","HYPK"
"ENST00000439025.1",7.9e-24,"ENST00000439025.1","ENST00000439025",7.9e-24,"ENSG00000185088","RPS27L"
"ENST00000598098.5",1.32e-23,"ENST00000598098.5","ENST00000598098",1.32e-23,"ENSG00000083845","RPS5"
"ENST00000507273.5",1.45e-23,"ENST00000507273.5","ENST00000507273",1.45e-23,"ENSG00000204628","RACK1"
"ENST00000637516.1",1.55e-23,"ENST00000637516.1","ENST00000637516",1.55e-23,"ENSG00000283391","EEF1B2"
"ENST00000583684.5",1.69e-23,"ENST00000583684.5","ENST00000583684",1.69e-23,"ENSG00000108622","ICAM2"
"ENST00000596314.5",1.82e-23,"ENST00000596314.5","ENST00000596314",1.82e-23,"ENSG00000083845","RPS5"
"ENST00000546989.5",1.95e-23,"ENST00000546989.5","ENST00000546989",1.95e-23,"ENSG00000089157","RPLP0"
"ENST00000464658.1",1.95e-23,"ENST00000464658.1","ENST00000464658",1.95e-23,"ENSG00000142937","RPS8"
"ENST00000510447.1",2.04e-23,"ENST00000510447.1","ENST00000510447",2.04e-23,"ENSG00000127184","COX7C"
"ENST00000457444.6",2.25e-23,"ENST00000457444.6","ENST00000457444",2.25e-23,"ENSG00000106588","PSMA2"
"ENST00000571309.1",2.28e-23,"ENST00000571309.1","ENST00000571309",2.28e-23,"ENSG00000142507","PSMB6"
"ENST00000697735.1",2.41e-23,"ENST00000697735.1","ENST00000697735",2.41e-23,"ENSG00000168028","RPSA"
"ENST00000514764.5",2.75e-23,"ENST00000514764.5","ENST00000514764",2.75e-23,"ENSG00000154277","UCHL1"
"ENST00000623550.1",2.97e-23,"ENST00000623550.1","ENST00000623550",2.97e-23,"ENSG00000166710","B2M"
"ENST00000431254.5",5.17e-23,"ENST00000431254.5","ENST00000431254",5.17e-23,"ENSG00000241837","ATP5PO"
"ENST00000615067.4",6.55e-23,"ENST00000615067.4","ENST00000615067",6.55e-23,"ENSG00000273594","EEF1D"
"ENST00000481798.1",6.7e-23,"ENST00000481798.1","ENST00000481798",6.7e-23,"ENSG00000188846","RPL14"
"ENST00000356708.12",8.73e-23,"ENST00000356708.12","ENST00000356708",8.73e-23,"ENSG00000165629","ATP5F1C"
"ENST00000581150.6",8.89e-23,"ENST00000581150.6","ENST00000581150",8.89e-23,"ENSG00000104904","OAZ1"
"ENST00000405348.6",1.06e-22,"ENST00000405348.6","ENST00000405348",1.06e-22,"ENSG00000105974","CAV1"
"ENST00000372634.1",1.15e-22,"ENST00000372634.1","ENST00000372634",1.15e-22,"ENSG00000166681","BEX3"
"ENST00000570801.1",1.56e-22,"ENST00000570801.1","ENST00000570801",1.56e-22,"ENSG00000243678","NME2"
"ENST00000639959.1",1.73e-22,"ENST00000639959.1","ENST00000639959",1.73e-22,"ENSG00000160213","CSTB"
"ENST00000561139.2",1.75e-22,"ENST00000561139.2","ENST00000561139",1.75e-22,"ENSG00000166710","B2M"
"ENST00000371648.4",3.38e-22,"ENST00000371648.4","ENST00000371648",3.38e-22,"ENSG00000107223","EDF1"
"ENST00000632587.1",3.53e-22,"ENST00000632587.1","ENST00000632587",3.53e-22,"ENSG00000273594","EEF1D"
"ENST00000562929.1",3.65e-22,"ENST00000562929.1","ENST00000562929",3.65e-22,"ENSG00000131143","COX4I1"
"ENST00000311832.6",4.29e-22,"ENST00000311832.6","ENST00000311832",4.29e-22,"ENSG00000173163","COMMD1"
"ENST00000465786.1",4.89e-22,"ENST00000465786.1","ENST00000465786",4.89e-22,"ENSG00000174748","RPL15"
"ENST00000530913.1",5.43e-22,"ENST00000530913.1","ENST00000530913",5.43e-22,"ENSG00000166441","RPL27A"
"ENST00000573262.1",5.43e-22,"ENST00000573262.1","ENST00000573262",5.43e-22,"ENSG00000243678","NME2"
"ENST00000482103.1",1.2e-21,"ENST00000482103.1","ENST00000482103",1.2e-21,"ENSG00000114942","EEF1B2"
"ENST00000513013.5",1.54e-21,"ENST00000513013.5","ENST00000513013",1.54e-21,"ENSG00000113387","SUB1"
"ENST00000541679.7",1.75e-21,"ENST00000541679.7","ENST00000541679",1.75e-21,"ENSG00000132341","RAN"
"ENST00000248566.4",2.12e-21,"ENST00000248566.4","ENST00000248566",2.12e-21,"ENSG00000127922","SEM1"
"ENST00000482389.1",2.12e-21,"ENST00000482389.1","ENST00000482389",2.12e-21,"ENSG00000127922","SEM1"
"ENST00000321153.9",2.17e-21,"ENST00000321153.9","ENST00000321153",2.17e-21,"ENSG00000177600","RPLP2"
"ENST00000366816.5",2.4e-21,"ENST00000366816.5","ENST00000366816",2.4e-21,"ENSG00000163041","H3-3A"
"ENST00000498815.1",3.73e-21,"ENST00000498815.1","ENST00000498815",3.73e-21,"ENSG00000137154","RPS6"
"ENST00000707469.1",3.82e-21,"ENST00000707469.1","ENST00000707469",3.82e-21,"ENSG00000291420","ACTG1"
"ENST00000521291.5",4.03e-21,"ENST00000521291.5","ENST00000521291",4.03e-21,"ENSG00000156482","RPL30"
"ENST00000376836.8",5.85e-21,"ENST00000376836.8","ENST00000376836",5.85e-21,"ENSG00000148444","COMMD3"
"ENST00000394920.6",6.43e-21,"ENST00000394920.6","ENST00000394920",6.43e-21,"ENSG00000161016","RPL8"
"ENST00000486500.1",6.76e-21,"ENST00000486500.1","ENST00000486500",6.76e-21,"ENSG00000160014","CALM3"
"ENST00000509708.2",7.15e-21,"ENST00000509708.2","ENST00000509708",7.15e-21,"ENSG00000145741","BTF3"
"ENST00000377595.8",7.53e-21,"ENST00000377595.8","ENST00000377595",7.53e-21,"ENSG00000118939","UCHL3"
"ENST00000376392.10",8.59e-21,"ENST00000376392.10","ENST00000376392",8.59e-21,"ENSG00000011052","NME1-NME2"
"ENST00000559720.5",9e-21,"ENST00000559720.5","ENST00000559720",9e-21,"ENSG00000166710","B2M"
"ENST00000333926.6",1.05e-20,"ENST00000333926.6","ENST00000333926",1.05e-20,"ENSG00000122873","CISD1"
"ENST00000460947.1",1.06e-20,"ENST00000460947.1","ENST00000460947",1.06e-20,"ENSG00000173660","UQCRH"
"ENST00000533567.5",1.13e-20,"ENST00000533567.5","ENST00000533567",1.13e-20,"ENSG00000133112","TPT1"
"ENST00000418933.1",1.35e-20,"ENST00000418933.1","ENST00000418933",1.35e-20,"ENSG00000241837","ATP5PO"
"ENST00000370873.9",1.67e-20,"ENST00000370873.9","ENST00000370873",1.67e-20,"ENSG00000101182","PSMA7"
"ENST00000202773.14",1.86e-20,"ENST00000202773.14","ENST00000202773",1.86e-20,"ENSG00000089009","RPL6"
"ENST00000372209.3",1.86e-20,"ENST00000372209.3","ENST00000372209",1.86e-20,"ENSG00000142937","RPS8"
"ENST00000585392.2",1.97e-20,"ENST00000585392.2","ENST00000585392",1.97e-20,"ENSG00000125743","SNRPD2"
"ENST00000646768.1",2.34e-20,"ENST00000646768.1","ENST00000646768",2.34e-20,"ENSG00000285246","NEDD8"
"ENST00000578069.1",2.54e-20,"ENST00000578069.1","ENST00000578069",2.54e-20,"ENSG00000161970","RPL26"
"ENST00000564648.1",2.73e-20,"ENST00000564648.1","ENST00000564648",2.73e-20,"ENSG00000131143","COX4I1"
"ENST00000584583.2",3.14e-20,"ENST00000584583.2","ENST00000584583",3.14e-20,"ENSG00000125691","RPL23"
"ENST00000601048.6",3.34e-20,"ENST00000601048.6","ENST00000601048",3.34e-20,"ENSG00000178980","SELENOW"
"ENST00000665270.1",4.5e-20,"ENST00000665270.1","ENST00000665270",4.5e-20,"ENSG00000203875","SNHG5"
"ENST00000554482.1",4.77e-20,"ENST00000554482.1","ENST00000554482",4.77e-20,"ENSG00000119655","NPC2"
"ENST00000527046.5",5.04e-20,"ENST00000527046.5","ENST00000527046",5.04e-20,"ENSG00000129559","NEDD8"
"ENST00000651485.1",5.06e-20,"ENST00000651485.1","ENST00000651485",5.06e-20,"ENSG00000085063","CD59"
"ENST00000373116.6",5.09e-20,"ENST00000373116.6","ENST00000373116",5.09e-20,"ENSG00000116898","MRPS15"
"ENST00000366815.10",5.71e-20,"ENST00000366815.10","ENST00000366815",5.71e-20,"ENSG00000163041","H3-3A"
"ENST00000528957.6",5.96e-20,"ENST00000528957.6","ENST00000528957",5.96e-20,"ENSG00000161016","RPL8"
"ENST00000465271.6",7.51e-20,"ENST00000465271.6","ENST00000465271",7.51e-20,"ENSG00000143771","CNIH4"
"ENST00000302386.10",9.73e-20,"ENST00000302386.10","ENST00000302386",9.73e-20,"ENSG00000170296","GABARAP"
"ENST00000577035.5",9.73e-20,"ENST00000577035.5","ENST00000577035",9.73e-20,"ENSG00000170296","GABARAP"
"ENST00000486310.5",1.16e-19,"ENST00000486310.5","ENST00000486310",1.16e-19,"ENSG00000168374","ARF4"
"ENST00000427417.1",1.16e-19,"ENST00000427417.1","ENST00000427417",1.16e-19,"ENSG00000173163","COMMD1"
"ENST00000607564.1",1.25e-19,"ENST00000607564.1","ENST00000607564",1.25e-19,"ENSG00000161939","RNASEK-C17orf49"
"ENST00000489532.6",1.4e-19,"ENST00000489532.6","ENST00000489532",1.4e-19,"ENSG00000129562","DAD1"
"ENST00000567815.5",1.58e-19,"ENST00000567815.5","ENST00000567815",1.58e-19,"ENSG00000167526","RPL13"
"ENST00000599874.5",1.58e-19,"ENST00000599874.5","ENST00000599874",1.58e-19,"ENSG00000178980","SELENOW"
"ENST00000661429.1",1.61e-19,"ENST00000661429.1","ENST00000661429",1.61e-19,"ENSG00000163041","H3-3A"
"ENST00000445623.1",1.85e-19,"ENST00000445623.1","ENST00000445623",1.85e-19,"ENSG00000102265","TIMP1"
"ENST00000521619.1",2.08e-19,"ENST00000521619.1","ENST00000521619",2.08e-19,"ENSG00000120533","ENY2"
"ENST00000406022.6",2.8e-19,"ENST00000406022.6","ENST00000406022",2.8e-19,"ENSG00000147403","RPL10"
"ENST00000225655.6",3.04e-19,"ENST00000225655.6","ENST00000225655",3.04e-19,"ENSG00000108518","PFN1"
"ENST00000574872.1",3.04e-19,"ENST00000574872.1","ENST00000574872",3.04e-19,"ENSG00000108518","PFN1"
"ENST00000511175.1",3.65e-19,"ENST00000511175.1","ENST00000511175",3.65e-19,"ENSG00000113387","SUB1"
"ENST00000476258.5",3.68e-19,"ENST00000476258.5","ENST00000476258",3.68e-19,"ENSG00000189159","JPT1"
"ENST00000417181.5",3.72e-19,"ENST00000417181.5","ENST00000417181",3.72e-19,"ENSG00000241837","ATP5PO"
"ENST00000265729.7",3.8e-19,"ENST00000265729.7","ENST00000265729",3.8e-19,"ENSG00000075142","SRI"
"ENST00000349264.10",3.94e-19,"ENST00000349264.10","ENST00000349264",3.94e-19,"ENSG00000166710","B2M"
"ENST00000537918.1",4.39e-19,"ENST00000537918.1","ENST00000537918",4.39e-19,"ENSG00000173113","TRMT112"
"ENST00000520361.5",5.09e-19,"ENST00000520361.5","ENST00000520361",5.09e-19,"ENSG00000171530","TBCA"
"ENST00000460490.2",5.65e-19,"ENST00000460490.2","ENST00000460490",5.65e-19,"ENSG00000088832","FKBP1A"
"ENST00000519911.5",6.04e-19,"ENST00000519911.5","ENST00000519911",6.04e-19,"ENSG00000113732","ATP6V0E1"
"ENST00000429064.1",6.7e-19,"ENST00000429064.1","ENST00000429064",6.7e-19,"ENSG00000241837","ATP5PO"
"ENST00000265462.9",7.45e-19,"ENST00000265462.9","ENST00000265462",7.45e-19,"ENSG00000126432","PRDX5"
"ENST00000528987.1",7.97e-19,"ENST00000528987.1","ENST00000528987",7.97e-19,"ENSG00000085063","CD59"
"ENST00000578379.5",9.86e-19,"ENST00000578379.5","ENST00000578379",9.86e-19,"ENSG00000108622","ICAM2"
"ENST00000602676.6",1.04e-18,"ENST00000602676.6","ENST00000602676",1.04e-18,"ENSG00000104904","OAZ1"
"ENST00000490277.1",1.14e-18,"ENST00000490277.1","ENST00000490277",1.14e-18,"ENSG00000133112","TPT1"
