gene_id	gene_name	feature_id	sample02	sample03	sample04	sample09	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
MSTRG.16609		ENST00000491306.6	9029	9440	7318	22756	15256	26580	11526	22163	32153	33359	29043	30221	4807	28074	21625
MSTRG.16609		ENST00000490649.1	8875	9375	7264	22667	15132	26489	11465	22073	32026	33209	28928	30137	4791	27971	21566
MSTRG.9482		ENST00000487304.6	6022	8295	6753	25372	16114	37886	11461	26954	35513	38344	34291	33428	5979	31984	25390
MSTRG.28532	MSTRG.28532	MSTRG.28532.5	7333	8732	6572	22886	14610	27033	11187	22939	31629	33315	30279	30688	5116	30205	22619
MSTRG.16609		ENST00000420712.1	8167	8450	6608	20301	13800	23883	10401	19942	28742	29718	26036	27215	4355	25323	19241
MSTRG.28532	MSTRG.28532	ENST00000468844.1	6755	8067	6094	21024	13591	24956	10328	21100	29161	30552	27745	28309	4704	27628	20758
MSTRG.23928		ENST00000484616.2	5507	7138	5599	23500	13452	32189	9937	26272	35849	38268	34341	34603	6336	33923	25344
MSTRG.23928		ENST00000230050.4	5502	7123	5586	23436	13420	32092	9920	26183	35711	38128	34221	34491	6303	33734	25244
MSTRG.17504		ENST00000343986.9	7116	7870	6056	19489	12609	22259	9855	18111	26525	27398	23676	24325	4027	22991	17464
MSTRG.1952	MSTRG.1952	ENST00000651669.1	6481	7179	6027	16620	12208	20424	9630	17149	23251	25342	23037	23180	3611	21577	16322
MSTRG.12492		ENST00000533498.1	6670	7634	5600	19658	11992	21222	9564	16764	24515	26758	22992	23843	3804	22718	17171
MSTRG.1952	MSTRG.1952	ENST00000643794.1	6258	6970	5814	16036	11882	19758	9301	16617	22462	24504	22328	22422	3515	20931	15821
MSTRG.16609		ENST00000478153.1	7170	7615	5815	18145	12163	21114	9188	17678	25852	26573	23291	24055	3909	22328	17447
MSTRG.4142		ENST00000321153.9	5349	6848	4995	18918	11477	24640	8956	19009	28349	30157	24928	26086	4507	24497	18605
MSTRG.5716	MSTRG.5716	MSTRG.5716.3	5737	6365	5358	14636	10847	17919	8587	15092	20602	22411	20163	20649	3213	18789	14260
MSTRG.27838		ENST00000389680.2	10233	8578	5501	11530	9035	9553	8553	8155	14298	15349	11657	8461	1547	9361	7434
MSTRG.13607	MSTRG.13607	ENST00000602140.1	5509	7158	5116	15531	11036	19599	8546	18250	26075	28288	24074	25047	3820	21484	16567
MSTRG.5716	MSTRG.5716	MSTRG.5716.2	5733	6385	5323	14642	10777	17894	8533	15061	20674	22438	20263	20583	3197	18818	14356
MSTRG.1952	MSTRG.1952	MSTRG.1952.3	5659	6335	5262	14731	10891	18163	8499	15121	20677	22357	20515	20443	3209	19077	14454
MSTRG.10221	MSTRG.10221	ENST00000322989.8	4453	5972	4841	18726	10985	26577	8484	21362	28530	30927	28486	28886	5028	28422	21287
MSTRG.5716	MSTRG.5716	MSTRG.5716.1	5733	6321	5365	14649	10855	17982	8469	15098	20654	22295	20143	20548	3171	18794	14300
MSTRG.18941		ENST00000459492.1	11803	9806	6075	5028	5439	2910	8274	5416	9591	15528	8613	7313	1105	6275	2978
MSTRG.13532	MSTRG.13532	MSTRG.13532.9	4717	6170	4558	16275	10673	20440	8190	17259	23736	26218	23033	24367	3966	22943	17269
MSTRG.10221	MSTRG.10221	ENST00000572008.5	4353	5765	4664	17940	10539	25384	8180	20211	27145	29419	27055	27380	4733	26868	20131
MSTRG.10221	MSTRG.10221	ENST00000563390.5	4345	5773	4659	17959	10545	25380	8176	20212	27155	29419	27044	27378	4733	26869	20128
MSTRG.10221	MSTRG.10221	ENST00000569365.6	4320	5752	4654	17909	10514	25337	8155	20192	27111	29344	27002	27346	4732	26834	20096
MSTRG.12492		ENST00000584577.5	5711	6515	4649	16775	10162	18053	8152	14289	20807	22585	19669	20269	3233	19415	14706
MSTRG.10221	MSTRG.10221	ENST00000576008.5	4210	5678	4603	17795	10418	25266	8078	20119	27018	29185	26888	27230	4700	26709	20025
MSTRG.13532	MSTRG.13532	ENST00000577222.5	4681	6104	4503	16039	10552	20081	8075	16981	23329	25807	22622	23929	3885	22504	16936
MSTRG.20296		ENST00000448864.6	4086	5543	4355	18388	10309	24424	8064	19476	26620	28571	26225	26711	4571	26160	19716
MSTRG.20296		ENST00000647248.2	4005	5419	4258	17752	9956	23472	7831	18806	25768	27651	25305	25754	4397	25188	18952
MSTRG.10221	MSTRG.10221	ENST00000565420.5	4168	5537	4473	17334	10196	24535	7823	19588	26169	28292	26022	26345	4580	25946	19327
MSTRG.14311		ENST00000598742.6	3700	5121	4352	19213	10653	27604	7602	23239	31596	33425	31880	31522	5922	31082	23963
MSTRG.14311		ENST00000600467.6	3671	5103	4339	19152	10614	27535	7582	23190	31511	33354	31791	31434	5907	30992	23911
MSTRG.14311		ENST00000221975.6	3665	5091	4321	19100	10587	27463	7550	23118	31403	33238	31701	31326	5886	30889	23835
MSTRG.13532	MSTRG.13532	ENST00000347512.8	4449	5759	4324	14922	9885	18659	7546	15800	21620	23934	21040	22101	3590	20853	15590
MSTRG.26332		ENST00000287038.8	4977	6105	4268	12978	8656	16620	7539	14215	19988	22834	18776	18331	3272	18340	13294
MSTRG.26332		ENST00000518850.5	4978	6100	4262	12965	8654	16594	7536	14203	19963	22812	18745	18319	3266	18318	13281
MSTRG.27571		ENST00000487431.1	4074	5246	3960	14934	9449	18986	7372	14379	21036	22417	20006	20496	3437	19534	15431
MSTRG.27571		ENST00000348462.6	4074	5243	3957	14930	9444	18981	7371	14378	21032	22410	19999	20495	3436	19531	15428
MSTRG.27571		ENST00000373570.8	4052	5231	3940	14871	9401	18915	7352	14335	20933	22334	19926	20417	3427	19462	15371
MSTRG.27571		ENST00000493018.5	4047	5225	3936	14861	9391	18890	7343	14325	20922	22320	19914	20403	3425	19451	15360
MSTRG.14311		ENST00000593863.5	3419	4653	4013	17465	9787	25160	7015	21265	28928	30539	29177	28829	5422	28240	21942
MSTRG.18287		ENST00000215909.10	4115	5237	4016	15443	9808	23324	7006	16203	21180	23736	21214	18511	3188	18386	15310
MSTRG.26332		ENST00000521291.5	4487	5545	3955	12810	8265	16710	6966	14200	19830	22343	18623	18214	3266	18356	13379
MSTRG.28405	MSTRG.28405	ENST00000614077.4	4143	5413	4150	14505	9134	18419	6952	15925	22363	24687	21663	22721	3728	21231	15854
MSTRG.28405	MSTRG.28405	ENST00000427805.6	4130	5411	4153	14510	9147	18413	6936	15909	22375	24650	21654	22740	3712	21234	15831
MSTRG.15770		ENST00000264258.8	4189	5271	4071	13981	8942	18919	6907	15943	22096	24107	21512	21219	3567	20536	15716
MSTRG.15770		ENST00000409733.5	4174	5242	4060	13991	8947	18902	6894	15928	22073	24066	21489	21223	3569	20530	15726
ENSG00000182774.13	RPS17	ENST00000647841.1	3624	4759	3764	15237	8846	21339	6863	16599	23034	24797	22349	22784	3938	21744	16984
MSTRG.148		ENST00000617731.2	3631	4765	3746	15265	8862	21413	6852	16646	23091	24869	22399	22838	3953	21796	17035
MSTRG.28405	MSTRG.28405	ENST00000553110.8	4100	5333	4121	14210	8984	18046	6827	15546	21917	24134	21158	22151	3633	20737	15460
MSTRG.148		ENST00000633731.1	3507	4639	3693	15139	8758	21316	6749	16561	22924	24659	22248	22719	3933	21700	16956
MSTRG.15770		ENST00000409320.7	4053	5164	3949	13662	8755	18453	6723	15518	21574	23505	21028	20697	3490	20111	15332
MSTRG.11384	MSTRG.11384	ENST00000584164.6	3449	4099	3699	15457	8748	22767	6721	18596	24470	25906	24815	25270	4669	25651	19474
MSTRG.11384	MSTRG.11384	ENST00000648839.1	3447	4090	3693	15412	8730	22688	6715	18499	24383	25827	24715	25179	4646	25523	19374
MSTRG.11384	MSTRG.11384	ENST00000583011.6	3441	4081	3689	15404	8723	22670	6704	18485	24363	25815	24701	25156	4645	25503	19360
MSTRG.4374		ENST00000525634.6	3231	4508	3671	16053	9110	23173	6592	18476	25208	26819	24648	24298	4519	24646	18881
ENSG00000280831.3	RPS25	ENST00000631368.2	3598	4851	3827	15462	9062	21453	6576	17223	23164	25379	22899	23928	4225	23039	17414
ENSG00000118181.11	RPS25	ENST00000532567.5	3604	4847	3823	15465	9062	21449	6575	17219	23161	25380	22897	23924	4224	23039	17409
MSTRG.4374		ENST00000526895.5	3214	4491	3665	16006	9073	23123	6570	18410	25127	26744	24587	24240	4502	24583	18826
ENSG00000280831.3	RPS25	ENST00000628770.2	3380	4761	3765	15402	8910	21463	6512	17368	23301	25467	23015	24037	4259	23216	17572
ENSG00000118181.11	RPS25	ENST00000527673.2	3387	4760	3757	15389	8899	21454	6511	17356	23291	25483	23021	24058	4268	23211	17567
MSTRG.28405	MSTRG.28405	MSTRG.28405.3	3655	5021	3785	13507	8489	17285	6401	14892	20868	22949	20264	21196	3483	19991	14809
MSTRG.4374		ENST00000525828.1	3110	4334	3512	15463	8784	22383	6373	17762	24293	25814	23725	23360	4344	23732	18175
MSTRG.12492		ENST00000439590.6	4879	5240	3883	13255	7865	13763	6273	10937	16306	18029	15187	15541	2506	15156	11487
MSTRG.11943		ENST00000253788.12	3343	4332	3292	13499	7983	18026	6168	15158	21245	21986	19345	19767	3484	19706	15232
MSTRG.28405	MSTRG.28405	ENST00000392994.7	3460	4763	3584	12927	8143	16538	6155	14264	20054	22016	19426	20333	3363	19146	14204
MSTRG.21695		ENST00000274242.10	4247	4707	3655	11949	7634	13588	6057	11425	16294	17328	14610	15296	2453	14739	11286
MSTRG.6406	MSTRG.6406	ENST00000356464.10	3012	4317	3440	13648	8210	17846	5823	16021	21610	23752	21601	21069	3683	20682	15783
MSTRG.6406	MSTRG.6406	ENST00000646449.2	3012	4316	3438	13643	8210	17841	5823	16013	21606	23754	21595	21067	3683	20681	15780
MSTRG.6406	MSTRG.6406	ENST00000552361.1	3006	4309	3429	13563	8189	17753	5815	15947	21524	23648	21509	20980	3668	20565	15697
MSTRG.17473		ENST00000243997.8	3940	4648	3595	12809	7331	14920	5759	12145	17540	17684	17100	16244	2866	15687	11629
MSTRG.6406	MSTRG.6406	ENST00000548590.1	2973	4252	3382	13399	8085	17542	5752	15776	21285	23425	21259	20746	3625	20344	15497
MSTRG.17473		ENST00000395659.1	3911	4620	3573	12708	7288	14797	5713	12052	17410	17559	16971	16123	2842	15568	11517
MSTRG.148		ENST00000632419.1	2718	3783	2985	12421	7216	17710	5555	13673	18991	20285	18439	18989	3342	17937	14112
MSTRG.11943		ENST00000589913.6	3060	3870	2957	11902	7033	16001	5494	13439	19063	19513	17233	17659	3129	17639	13533
ENSG00000182774.13	RPS17	ENST00000561157.5	2684	3666	2945	12225	7138	17483	5465	13467	18767	20021	18193	18748	3289	17658	13950
MSTRG.11943		ENST00000589037.5	3041	3861	2949	11782	7001	15819	5451	13281	18872	19282	17044	17472	3092	17414	13318
MSTRG.6406	MSTRG.6406	MSTRG.6406.2	2816	4019	3197	12662	7625	16461	5449	14999	20094	22053	20020	19597	3432	19234	14676
MSTRG.22617		ENST00000407193.7	2743	3640	2951	13466	7349	19556	5444	16015	20676	22173	21158	20957	3904	21014	16143
MSTRG.27853	MSTRG.27853	MSTRG.27853.2	7226	5343	3541	11036	7017	11552	5426	9499	11884	13745	11409	10265	1861	10779	8883
MSTRG.27853	MSTRG.27853	MSTRG.27853.4	7419	5515	3218	9425	6809	7798	5381	6175	8551	9720	7424	7209	1187	6941	5128
MSTRG.7314	MSTRG.7314	ENST00000326092.8	2291	3167	2980	17441	7044	24244	5242	19379	26202	26407	27127	25796	5139	28594	21616
MSTRG.7314	MSTRG.7314	ENST00000311549.11	2280	3171	2973	17425	7055	24172	5238	19285	26085	26330	27016	25708	5104	28474	21498
MSTRG.7314	MSTRG.7314	ENST00000272274.8	2295	3168	2967	17430	7055	24246	5237	19375	26176	26383	27108	25783	5138	28586	21596
MSTRG.7314	MSTRG.7314	ENST00000319826.8	2290	3168	2968	17438	7055	24254	5230	19393	26206	26412	27126	25813	5140	28610	21620
MSTRG.4282		ENST00000524496.5	2758	3779	3064	12069	6839	17316	5195	13561	19288	20594	17644	17426	3200	17513	13546
MSTRG.27910		ENST00000451311.7	2938	3569	2875	14753	7489	23663	5175	16244	18477	18518	18885	19628	4479	23405	17393
MSTRG.4282		ENST00000534599.5	2759	3768	3055	12065	6831	17316	5171	13556	19257	20595	17628	17404	3210	17534	13541
MSTRG.4282		ENST00000314138.11	2776	3770	3063	12081	6836	17314	5170	13575	19268	20619	17637	17419	3218	17517	13548
MSTRG.27910		ENST00000380636.1	2943	3567	2873	14729	7474	23620	5167	16195	18414	18489	18834	19566	4467	23342	17354
MSTRG.13532	MSTRG.13532	ENST00000579446.1	3188	4020	3097	9917	6832	12631	5162	10993	15061	16842	14726	15349	2446	14425	10600
MSTRG.7314	MSTRG.7314	ENST00000461690.5	2199	3102	2933	17285	6954	24073	5160	19169	25844	26095	26844	25549	5075	28300	21370
MSTRG.4150		ENST00000322028.5	2796	3986	2942	11214	6482	12894	5067	10282	15078	15598	13911	13608	2136	12464	9626
MSTRG.18634		ENST00000429711.7	2805	3630	2931	11226	7177	16561	5045	13657	17668	19975	18167	17262	3157	17252	13664
MSTRG.18634		ENST00000396957.5	2796	3622	2926	11226	7171	16567	5039	13683	17692	19992	18202	17288	3158	17275	13690
MSTRG.18634		ENST00000273223.10	2742	3544	2874	10960	7010	16084	4904	13273	17227	19478	17661	16818	3066	16779	13260
MSTRG.4282		ENST00000530022.5	2587	3506	2892	11313	6408	16199	4875	12741	18125	19265	16477	16316	3019	16424	12673
MSTRG.22036		ENST00000651545.1	2428	3249	2761	11153	6578	15821	4859	13091	17593	19298	17232	17096	3287	17061	13380
MSTRG.22036		ENST00000296674.13	2427	3249	2760	11151	6582	15822	4856	13089	17599	19299	17228	17097	3287	17066	13383
MSTRG.22036		ENST00000507980.1	2411	3234	2741	11116	6561	15756	4841	13039	17532	19215	17169	17025	3279	16990	13320
MSTRG.5190	MSTRG.5190	ENST00000473748.1	3267	3915	2842	8518	5997	10506	4780	9783	13855	15272	12901	13327	2019	11580	8738
MSTRG.16609		ENST00000456586.5	4154	3884	2944	9020	5907	9725	4733	8023	12419	12759	11043	11219	1790	10392	7992
MSTRG.16609		ENST00000359681.3	4162	3893	2955	9030	5943	9766	4726	8028	12437	12779	11065	11231	1803	10411	8000
MSTRG.11837		ENST00000479035.7	2617	3315	2859	10666	6022	14901	4721	11429	15377	16760	14880	14645	2592	14212	10743
MSTRG.18634		ENST00000435983.5	2667	3425	2780	10542	6753	15439	4714	12800	16568	18766	16994	16195	2943	16098	12765
ENSG00000231500.7	RPS18	ENST00000439602.7	2219	3012	2775	10254	6684	17165	4674	16567	20452	23852	21777	20622	3762	20457	16356
ENSG00000223367.6	RPS18	ENST00000457341.6	2237	3028	2770	10242	6659	17158	4668	16594	20445	23853	21782	20611	3768	20439	16361
MSTRG.77		ENST00000211372.9	2253	3030	2797	10275	6683	17172	4647	16594	20459	23863	21789	20625	3763	20446	16352
ENSG00000235650.6	RPS18	ENST00000454021.6	2237	3028	2796	10278	6673	17173	4643	16574	20452	23830	21802	20627	3779	20449	16353
ENSG00000226225.6	RPS18	ENST00000434122.2	2236	3022	2783	10251	6676	17152	4637	16590	20474	23837	21794	20614	3777	20488	16361
MSTRG.20318		ENST00000304312.5	3296	3581	2716	8630	5649	8976	4535	8238	11854	11818	11347	11652	1740	10914	7875
MSTRG.28405	MSTRG.28405	MSTRG.28405.4	2523	3488	2607	9250	5938	11951	4531	10427	14514	15909	14028	14751	2362	13968	10280
MSTRG.12375		ENST00000582965.3	3978	3674	2623	6099	5650	5037	4464	6507	9905	11630	9408	10546	1516	9484	5833
MSTRG.1929		ENST00000496817.5	3100	3971	2813	10236	6012	13672	4441	11305	15920	17067	15447	13363	2330	13550	10232
MSTRG.1929		ENST00000368719.9	3098	3961	2808	10230	6013	13647	4439	11285	15887	17026	15417	13337	2325	13526	10210
MSTRG.4142		ENST00000530797.5	2873	3305	2343	8869	5415	11004	4223	8417	12505	13347	11204	11642	1973	10800	8167
MSTRG.18974		ENST00000438607.2	2432	3467	2447	9553	5456	11506	4217	9765	13768	14411	13574	13596	2284	12895	9903
MSTRG.12375		ENST00000580828.2	3747	3457	2423	5653	5287	4659	4138	6132	9325	10902	8864	9952	1441	8885	5445
MSTRG.14258		ENST00000251453.8	2147	2820	2316	10348	5850	15058	4088	11561	15462	17147	15128	15330	2723	15189	11769
MSTRG.14729		ENST00000344063.7	1907	3335	2518	8727	5836	12705	4068	10590	14757	16746	13505	13840	2241	12970	10013
MSTRG.14258		ENST00000599539.5	2130	2793	2292	10229	5796	14894	4052	11454	15322	16964	14942	15149	2693	15014	11646
MSTRG.14258		ENST00000339471.8	2106	2765	2277	10156	5736	14767	4035	11353	15184	16824	14799	15008	2674	14875	11538
MSTRG.14729		ENST00000560881.5	1860	3276	2471	8552	5726	12477	4001	10389	14494	16416	13251	13599	2196	12707	9815
MSTRG.26054	MSTRG.26054	ENST00000678039.1	2192	2776	2215	9569	5601	14289	3982	10681	13985	15483	14041	13879	2622	13629	10630
MSTRG.26054	MSTRG.26054	ENST00000678683.1	2202	2766	2217	9576	5591	14287	3982	10661	13969	15481	14051	13871	2622	13627	10638
MSTRG.26054	MSTRG.26054	ENST00000676918.1	2210	2774	2221	9561	5593	14286	3977	10662	13980	15490	14041	13888	2621	13633	10632
MSTRG.26054	MSTRG.26054	ENST00000676461.1	2211	2778	2207	9570	5578	14291	3958	10672	13965	15486	14038	13891	2616	13624	10631
MSTRG.26054	MSTRG.26054	ENST00000009589.8	2201	2764	2219	9566	5590	14280	3957	10650	13960	15489	14017	13872	2617	13602	10596
MSTRG.10585		ENST00000562017.1	2788	2562	1750	8763	4844	8644	3933	2037	3037	3103	2704	3131	566	3521	2719
MSTRG.10585		ENST00000561491.1	2782	2536	1713	8440	4909	8430	3911	2086	3028	3232	2727	3158	547	3411	2631
MSTRG.14729		ENST00000560583.5	1841	3172	2416	8339	5584	12121	3895	10130	14065	15945	12892	13201	2136	12403	9516
MSTRG.14729		ENST00000559463.5	1792	3184	2404	8369	5601	12201	3891	9919	13924	15754	12663	12980	2122	12243	9387
MSTRG.18287		ENST00000425542.5	2766	3112	2302	8399	5392	12268	3866	8760	11286	12849	11575	9778	1605	9867	8111
MSTRG.20296		ENST00000429437.5	2167	2611	2111	8689	4805	11025	3826	8790	12082	13158	11891	12076	2008	11915	9005
MSTRG.11837		ENST00000584912.5	2141	2680	2304	8477	4858	11907	3799	8950	12193	13118	11716	11483	2011	11225	8414
MSTRG.12375		ENST00000688233.1	3269	3080	2109	4920	4546	4188	3772	5381	8501	9827	7979	9084	1344	7804	4787
MSTRG.13896		ENST00000222247.10	1757	2724	2096	11057	5351	17395	3762	13073	16769	17961	17608	17265	3287	17616	13205
MSTRG.1952	MSTRG.1952	ENST00000493224.5	2616	2695	2285	6147	4454	7772	3683	6514	8434	9386	8855	8430	1352	8582	6295
MSTRG.333	MSTRG.333	ENST00000234875.9	2264	2709	2040	8812	4916	11524	3647	8767	12906	13620	11939	12277	2239	12402	8757
MSTRG.333	MSTRG.333	MSTRG.333.8	2231	2672	2006	8649	4843	11308	3582	8627	12705	13419	11756	12042	2208	12171	8589
MSTRG.13389		ENST00000592588.7	484	1559	2168	2686	4291	6713	3530	6742	11441	11791	8284	5319	550	3985	5747
MSTRG.598		ENST00000643754.2	1838	2374	2072	9535	4904	14789	3468	11502	15280	16095	14968	14324	2907	14922	11348
MSTRG.11662		ENST00000422514.7	2002	2517	2124	10204	5257	15432	3443	12728	16579	17472	17190	16037	3166	16807	13337
MSTRG.598		ENST00000374550.8	1828	2350	2054	9409	4853	14598	3435	11358	15106	15929	14778	14177	2885	14738	11218
MSTRG.21695		ENST00000504562.1	2566	2590	1975	6751	4284	7358	3427	6018	8600	9421	7976	8250	1278	7921	6051
MSTRG.17504		ENST00000492356.2	2730	2661	2125	6658	4381	7574	3413	6042	8645	9216	7900	8045	1312	7797	5880
MSTRG.13389		ENST00000586686.6	470	1514	2112	2630	4173	6543	3402	6556	11132	11444	8018	5191	533	3870	5575
MSTRG.333	MSTRG.333	ENST00000480661.1	2112	2569	1899	8193	4595	10757	3393	8161	12142	12753	11233	11447	2079	11579	8131
MSTRG.13389		ENST00000233609.8	461	1480	2066	2565	4113	6426	3385	6447	11023	11315	7923	5108	517	3815	5485
MSTRG.26332		ENST00000396070.6	2831	3113	1906	2835	2852	1905	3349	2166	3626	5114	3387	3073	492	2869	1709
MSTRG.13389		ENST00000591032.1	463	1472	2078	2573	4122	6381	3340	6402	10908	11192	7843	5051	516	3766	5481
ENSG00000118181.11	RPS25	ENST00000527853.1	1667	2340	1843	7806	4516	10779	3335	9051	11965	13060	11907	12287	2275	12003	9063
ENSG00000280831.3	RPS25	ENST00000628755.1	1662	2342	1840	7801	4515	10778	3333	9047	11958	13065	11902	12283	2279	12005	9063
MSTRG.598		ENST00000467075.2	1749	2252	1985	8943	4639	13867	3247	10855	14350	15092	14136	13447	2723	13960	10609
MSTRG.598		ENST00000443624.6	1741	2219	1932	8811	4574	13575	3241	10517	14062	14744	13689	13149	2679	13672	10356
MSTRG.22036		ENST00000504293.5	1776	2278	1864	7283	4313	10112	3200	8219	11222	12213	10903	10973	2089	10715	8373
MSTRG.15057		ENST00000456793.2	1851	2648	1872	6703	3941	8885	3123	7461	10051	11175	10111	9909	1665	9318	6742
MSTRG.15057		ENST00000447619.5	1851	2651	1874	6703	3940	8882	3123	7459	10053	11176	10112	9912	1664	9321	6742
MSTRG.15057		ENST00000429985.1	1848	2646	1868	6696	3933	8873	3120	7455	10011	11160	10102	9908	1658	9290	6734
MSTRG.8573		ENST00000613856.4	1655	2225	1642	6467	3760	7192	3112	5795	7966	8764	8014	8413	1270	8074	6330
MSTRG.8573		ENST00000238688.9	1651	2220	1635	6459	3755	7174	3110	5782	7959	8740	8002	8401	1269	8063	6323
MSTRG.8573		ENST00000557342.6	1649	2218	1630	6454	3744	7163	3101	5781	7933	8726	7991	8385	1266	8047	6317
MSTRG.9080	MSTRG.9080	ENST00000381359.5	1754	2368	1872	7560	4133	10949	3099	9493	13457	13844	12967	12351	2108	11897	8636
MSTRG.9080	MSTRG.9080	ENST00000249786.9	1744	2358	1872	7525	4135	10898	3082	9461	13397	13805	12937	12316	2106	11875	8607
ENSG00000182774.13	RPS17	ENST00000558397.1	1771	2090	1632	6725	3741	9037	3024	6861	9775	10709	9444	9278	1613	9023	7068
MSTRG.8573		ENST00000555890.5	1613	2166	1594	6291	3653	6988	3014	5652	7737	8489	7780	8167	1228	7863	6146
MSTRG.22617		ENST00000401695.8	1691	2046	1666	7357	4106	10608	3002	8280	10860	11787	10949	11020	1934	11052	8491
MSTRG.598		ENST00000458455.2	1651	2059	1815	8127	4252	12592	2975	9902	13044	13754	12816	12211	2473	12698	9649
MSTRG.26332		ENST00000518164.5	2304	2740	1616	2060	2259	948	2933	1346	2425	3738	2245	1959	306	1841	972
MSTRG.26332		ENST00000520998.1	2299	2741	1616	2053	2266	952	2930	1353	2420	3745	2253	1964	307	1841	977
MSTRG.3585		ENST00000435275.5	1925	2100	1782	6842	4152	9573	2926	7795	10531	11464	10213	10019	1819	10112	7700
MSTRG.11837		ENST00000394332.5	1681	2087	1807	6761	3697	9426	2925	6827	9095	10075	8863	8673	1508	8414	6452
MSTRG.22617		ENST00000312037.6	1629	1988	1591	7081	3967	10184	2905	7968	10494	11361	10489	10592	1865	10630	8202
MSTRG.22617		ENST00000521466.5	1641	1993	1591	7041	3963	10137	2895	7934	10437	11315	10475	10584	1840	10552	8050
MSTRG.9080	MSTRG.9080	ENST00000409960.6	1611	2179	1744	7023	3886	10199	2885	8875	12502	12925	12048	11541	1952	11162	8065
MSTRG.11662		ENST00000355731.8	1679	2098	1765	8529	4405	12783	2859	10662	14089	14641	14430	13554	2658	14118	11155
MSTRG.18974		ENST00000477624.1	1688	2321	1679	6346	3631	7503	2852	6338	9098	9414	8867	8831	1490	8288	6485
MSTRG.11662		ENST00000472628.1	1672	2118	1754	8539	4398	12791	2844	10649	14105	14661	14420	13554	2659	14103	11162
MSTRG.11662		ENST00000394935.7	1670	2105	1757	8532	4396	12793	2836	10664	14100	14658	14421	13575	2658	14121	11149
MSTRG.3585		ENST00000372360.9	1905	2060	1742	6547	4008	9187	2832	7454	10110	10985	9765	9530	1716	9576	7276
MSTRG.3585		ENST00000360830.9	1892	2055	1737	6518	3998	9164	2831	7445	10093	10981	9745	9497	1706	9552	7258
MSTRG.11662		ENST00000394938.8	1683	2126	1763	8532	4403	12823	2829	10656	14114	14688	14460	13572	2654	14153	11191
MSTRG.11662		ENST00000496182.5	1669	2102	1760	8528	4385	12782	2826	10642	14097	14652	14424	13561	2659	14123	11166
MSTRG.9080	MSTRG.9080	ENST00000486144.1	1530	2111	1663	6762	3707	9826	2773	8583	12000	12424	11548	11102	1890	10724	7741
MSTRG.13389		ENST00000592623.5	381	1233	1702	2109	3424	5225	2769	5297	9003	9229	6501	4131	418	3071	4464
MSTRG.14559	MSTRG.14559	ENST00000391857.9	1294	2108	1705	10521	4270	18457	2765	11508	13938	15140	14919	13681	2947	15012	11945
