Gene_ID,HUVEC_low1,HUVEC_low2,HUVEC_low3,HUVEC_high1,HUVEC_high2,HUVEC_high3,HUVEC_high4,HUAEC_low1,HUAEC_low2,HUAEC_low3,HUAEC_low4,HUAEC_high1,HUAEC_high2,HUAEC_high3,HUAEC_high4
ENSG00000003756,33,3,24,37,36,28,19,21,13,22,37,6,6,34,13
ENSG00000003989,0,1,0,12,1,36,12,1,1,12,1,1,0,18,0
ENSG00000004059,99,58,60,106,70,161,42,124,184,180,129,110,26,115,121
ENSG00000004139,8,0,1,0,0,8,0,8,2,20,9,12,0,7,5
ENSG00000004142,28,22,10,33,26,25,14,24,31,48,27,28,1,19,16
ENSG00000004399,166,94,86,109,129,119,78,141,243,212,222,127,29,145,57
ENSG00000004455,189,112,83,516,309,688,164,549,752,756,601,623,146,712,607
ENSG00000004478,40,34,16,32,52,21,30,21,32,51,23,38,2,16,21
ENSG00000004487,90,137,122,114,53,27,101,83,144,140,38,60,13,95,47
ENSG00000004534,0,29,17,42,36,23,56,25,33,13,21,32,9,9,1
ENSG00000004660,0,4,0,0,8,0,0,2,0,16,0,0,0,0,0
ENSG00000004700,18,4,4,22,20,20,9,26,16,8,14,6,2,13,8
ENSG00000004766,15,20,10,40,1,18,10,2,27,20,11,11,1,3,20
ENSG00000004776,6,4,1,1,1,1,1,3,6,2,0,1,0,0,0
ENSG00000004777,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
ENSG00000004779,142,231,170,606,410,1190,289,1010,1128,1313,1119,692,119,770,837
ENSG00000004799,1,0,0,3,3,0,0,2,0,0,0,0,0,0,0
ENSG00000004838,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
ENSG00000004864,8,4,0,12,14,8,1,10,18,17,14,14,0,1,6
ENSG00000004866,8,16,11,11,19,8,2,11,6,18,5,1,0,0,3
ENSG00000004897,42,16,20,38,25,26,23,11,29,20,19,28,8,24,18
ENSG00000004948,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004961,36,39,25,69,24,16,30,19,24,48,27,27,0,27,28
ENSG00000004975,6,2,5,10,9,4,5,2,9,9,5,1,0,1,3
ENSG00000005007,48,42,36,138,59,90,54,71,120,114,114,90,1,102,36
ENSG00000005020,4,2,5,5,4,7,3,5,2,6,4,3,0,0,5
ENSG00000005022,69,69,52,197,113,291,64,179,244,237,246,199,51,212,205
ENSG00000005059,30,14,13,8,23,12,18,23,51,29,15,33,2,12,16
ENSG00000005073,10,0,2,6,16,1,3,10,9,18,12,4,1,5,1
ENSG00000005075,118,151,154,590,355,1093,247,808,1050,1119,1101,970,177,979,776
ENSG00000005100,0,2,2,10,2,3,2,4,0,3,2,0,1,0,2
ENSG00000005108,3,1,0,0,1,0,0,3,6,3,1,2,0,1,2
ENSG00000005156,24,6,2,0,12,3,12,0,24,6,3,7,2,15,20
ENSG00000005175,0,13,8,12,3,12,7,9,24,6,17,10,0,23,7
ENSG00000005187,7,1,2,8,3,12,7,10,1,2,4,1,0,9,2
ENSG00000005189,0,1,0,0,0,6,1,0,0,0,0,0,0,0,9
ENSG00000005194,37,1,42,22,43,31,28,80,87,126,75,35,7,41,44
ENSG00000005206,12,1,0,1,6,4,6,6,6,24,15,10,0,1,12
ENSG00000005238,41,0,12,92,59,81,1,27,58,83,84,35,1,27,2
ENSG00000005243,1,24,0,8,1,13,5,4,14,2,17,24,0,26,6
ENSG00000005249,72,21,3,20,72,33,40,42,102,90,53,10,0,46,42
ENSG00000005302,55,62,33,183,141,60,136,78,59,127,131,100,15,26,51
ENSG00000005339,4,13,7,4,7,7,1,1,29,6,5,5,1,8,5
ENSG00000005436,25,2,9,4,2,16,24,1,10,13,29,20,2,17,15
ENSG00000005448,39,20,20,33,34,67,26,58,36,50,34,50,13,39,48
ENSG00000005469,4,0,3,5,6,6,1,6,8,22,9,16,1,6,4
ENSG00000005483,25,10,1,32,13,21,1,3,71,16,2,14,0,20,12
ENSG00000005486,12,34,17,16,0,54,6,41,28,48,36,47,1,37,27
ENSG00000005700,21,13,20,12,26,1,16,30,34,7,13,13,4,12,1
ENSG00000005801,49,29,18,70,22,89,30,93,66,26,71,84,15,143,57
ENSG00000005810,12,12,0,12,1,23,0,20,48,84,35,20,1,17,8
ENSG00000005812,4,1,0,2,12,11,5,2,2,8,9,3,1,8,12
ENSG00000005882,1,0,1,1,0,6,15,20,2,23,43,12,1,20,7
ENSG00000005884,35,22,13,23,16,22,13,64,154,93,95,34,13,51,44
ENSG00000005889,20,0,25,20,15,24,20,15,24,46,15,49,0,24,1
ENSG00000005893,18,17,16,75,37,41,27,45,68,69,67,48,10,63,29
ENSG00000005981,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0
ENSG00000006007,21,12,9,39,11,23,22,21,36,32,22,14,9,19,5
ENSG00000006015,80,63,32,46,72,29,71,59,103,164,66,41,23,35,28
ENSG00000006016,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
ENSG00000006025,0,0,0,8,0,28,0,1,12,8,0,0,0,0,0
ENSG00000006042,44,52,32,86,97,62,35,63,112,72,57,57,5,104,41
ENSG00000006062,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
ENSG00000006071,1,0,0,0,1,0,4,0,0,0,2,0,0,1,1
ENSG00000006118,19,0,1,30,40,6,8,33,22,39,51,12,8,35,27
ENSG00000006125,69,72,29,131,68,65,16,31,103,159,83,111,14,49,19
ENSG00000006194,6,0,0,0,12,6,21,0,0,18,16,0,0,15,11
ENSG00000006210,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0
ENSG00000006282,30,10,18,71,22,48,24,21,67,30,29,36,1,8,10
ENSG00000006283,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006327,86,88,93,174,146,164,127,183,261,267,240,129,27,127,124
ENSG00000006451,328,223,220,367,319,313,286,348,536,475,420,391,62,495,371
ENSG00000006453,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006459,0,0,1,1,0,6,0,0,4,0,1,0,0,0,0
ENSG00000006468,2,0,0,0,0,11,1,9,5,0,1,4,0,0,6
ENSG00000006530,1,13,6,34,15,13,1,7,66,1,1,10,6,0,6
ENSG00000006576,12,34,18,48,16,43,48,18,40,38,37,26,0,24,22
ENSG00000006606,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1
ENSG00000006607,6,1,11,2,1,8,3,4,11,3,2,0,2,2,0
ENSG00000006611,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006625,39,36,20,95,59,136,56,61,92,108,124,95,34,70,105
ENSG00000006634,22,6,12,29,27,21,20,12,28,23,12,1,0,24,11
ENSG00000006638,0,4,0,0,6,6,0,0,0,0,1,4,0,1,0
ENSG00000006652,22,27,45,28,24,30,21,9,50,59,18,2,0,23,11
ENSG00000006659,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
ENSG00000006695,9,0,7,6,4,3,2,4,9,3,4,4,0,7,7
ENSG00000006704,15,1,1,0,1,29,1,8,19,28,14,16,0,18,0
ENSG00000006712,28,13,22,17,32,13,34,28,29,36,24,48,4,13,20
ENSG00000006715,11,9,1,16,17,6,14,28,27,17,25,23,5,20,4
ENSG00000006744,119,30,60,108,108,86,67,81,145,58,74,31,0,57,96
ENSG00000006747,0,0,0,0,1,0,0,1,4,0,1,2,0,1,1
ENSG00000006756,2,9,11,20,8,28,12,21,37,27,22,33,6,25,5
ENSG00000006757,21,9,7,19,31,36,18,36,40,32,52,39,2,37,35
ENSG00000006831,7,6,6,13,10,8,2,8,12,10,11,9,3,18,8
ENSG00000006837,6,0,3,13,7,4,0,5,17,10,21,12,0,1,7
ENSG00000007047,13,24,6,40,30,8,14,26,64,15,18,22,0,21,12
ENSG00000007062,0,0,0,0,0,0,0,0,12,12,0,1,0,0,0
ENSG00000007080,32,48,41,47,62,66,50,51,101,123,56,43,12,48,36
ENSG00000007129,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ENSG00000007168,151,208,101,247,195,267,127,89,275,212,127,142,63,115,120
ENSG00000007174,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ENSG00000007202,18,9,0,22,9,19,4,19,24,26,16,6,1,13,15
ENSG00000007255,14,3,15,8,14,14,18,17,62,30,19,29,11,29,19
ENSG00000007312,1,2,0,1,0,1,1,0,1,9,9,0,0,1,0
ENSG00000007341,0,0,8,2,1,2,1,3,11,1,5,16,0,20,7
ENSG00000007372,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007376,39,22,6,38,15,28,23,20,27,48,25,12,1,8,18
ENSG00000007384,6,1,0,6,13,24,6,6,6,8,24,4,0,4,4
ENSG00000007392,68,31,16,83,50,90,63,39,26,52,124,33,6,27,37
ENSG00000007402,0,0,0,1,0,1,0,0,12,0,0,0,0,0,0
ENSG00000007520,19,14,9,32,41,17,17,12,42,17,26,12,0,13,8
ENSG00000007541,0,32,1,16,11,7,15,4,24,10,1,15,18,6,7
ENSG00000007545,6,6,1,4,8,0,0,0,8,6,4,5,1,8,0
ENSG00000007866,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ENSG00000007908,1,0,0,28,0,8,8,1,0,0,1,0,0,0,0
ENSG00000007923,3,37,31,33,37,40,36,12,72,104,50,47,9,31,27
ENSG00000007944,0,0,0,6,0,5,0,2,7,2,3,0,0,5,3
ENSG00000007952,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
ENSG00000007968,4,0,1,1,1,0,0,0,0,3,1,0,0,0,1
ENSG00000008018,126,131,97,349,192,772,101,562,756,774,702,662,149,747,609
ENSG00000008056,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000008083,2,2,4,6,4,1,7,1,10,4,2,2,0,0,8
ENSG00000008086,5,2,0,0,0,10,3,0,0,1,0,0,2,2,1
ENSG00000008118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008128,19,24,31,34,20,21,23,39,60,31,40,23,16,39,26
ENSG00000008130,37,31,21,31,37,41,33,27,91,45,32,60,10,38,17
ENSG00000008226,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000008256,1,0,0,4,0,8,4,1,1,0,2,0,1,4,0
ENSG00000008282,74,52,44,164,88,230,53,83,149,207,113,155,27,164,86
ENSG00000008283,36,32,52,19,20,13,16,33,63,24,27,32,1,22,16
ENSG00000008294,26,12,5,2,21,5,2,18,12,26,3,1,3,10,10
ENSG00000008311,8,6,33,12,0,1,20,18,18,0,1,25,0,30,1
ENSG00000008323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008324,37,61,59,335,100,461,72,337,435,448,505,443,86,486,431
ENSG00000008382,23,9,2,1,8,2,0,16,7,9,10,1,0,1,11
ENSG00000008394,358,340,140,530,375,1033,163,768,901,1052,893,593,152,659,667
ENSG00000008405,8,8,6,6,12,6,8,12,6,6,4,4,0,0,9
ENSG00000008441,13,10,6,12,8,24,1,8,22,35,13,11,6,3,11
ENSG00000008513,12,16,11,13,6,18,18,15,8,31,17,21,3,6,5
ENSG00000008516,0,0,0,0,1,0,0,0,4,0,0,0,0,0,6
ENSG00000008517,143,211,72,667,371,1177,258,472,721,828,601,712,158,786,723
ENSG00000008710,0,0,6,0,0,1,0,18,4,0,2,1,0,0,0
ENSG00000008838,38,34,34,114,38,61,33,36,30,93,25,36,0,44,43
ENSG00000008853,30,35,25,5,10,0,10,0,5,0,5,15,0,1,5
ENSG00000008869,3,0,3,5,3,4,1,7,5,2,5,0,0,1,3
ENSG00000008952,36,63,51,188,96,184,127,145,253,190,144,136,31,264,85
ENSG00000008988,13975,17088,13624,57892,34114,86122,24198,64354,84347,93684,84765,83697,15794,82128,64004
ENSG00000009307,691,543,414,650,667,733,552,503,1170,1081,933,571,108,663,461
ENSG00000009335,26,32,22,31,44,23,18,29,34,49,30,20,6,33,19
ENSG00000009413,2,12,0,1,18,1,0,1,0,8,1,1,0,1,0
ENSG00000009724,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000009780,10,0,0,1,0,10,20,10,10,18,1,1,0,1,1
ENSG00000009830,18,12,10,30,1,0,4,6,21,30,7,1,0,12,0
ENSG00000009844,80,16,22,48,56,43,24,42,100,38,59,54,27,51,4
ENSG00000009954,6,8,7,9,3,3,0,10,9,5,10,11,0,1,11
ENSG00000010017,9,2,2,6,8,11,5,10,12,8,6,5,3,2,11
ENSG00000010030,0,0,0,0,12,12,0,0,0,0,0,4,0,0,0
ENSG00000010072,4,1,1,8,1,4,10,0,33,9,1,5,8,2,8
ENSG00000010165,23,25,28,28,44,22,16,13,26,50,46,21,8,22,12
ENSG00000010219,35,35,36,142,71,215,52,172,197,247,205,186,47,195,115
ENSG00000010244,116,90,49,126,104,138,85,145,153,151,110,46,18,96,74
ENSG00000010256,139,222,106,236,296,319,162,273,396,376,316,258,28,217,208
ENSG00000010270,52,46,24,68,33,68,31,52,66,83,47,49,9,55,42
ENSG00000010278,1854,1158,952,3380,1603,2477,1500,1414,1796,1728,1364,1267,377,1402,1157
ENSG00000010292,48,48,20,89,50,74,32,30,73,75,30,59,16,55,30
ENSG00000010295,34,35,10,39,9,26,54,1,24,28,13,0,0,15,33
ENSG00000010318,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000010319,4,1,0,0,2,2,4,3,8,11,8,5,0,11,5
ENSG00000010322,42,56,16,8,15,37,18,33,57,69,64,21,0,62,13
ENSG00000010327,59,17,8,29,44,27,39,59,91,79,89,60,9,47,11
ENSG00000010361,6,8,1,0,6,0,2,0,0,9,2,2,0,6,0
ENSG00000010404,9,3,5,10,5,6,8,5,20,23,10,10,0,34,8
ENSG00000010438,44,25,14,75,20,125,14,78,97,87,83,62,7,65,72
ENSG00000010539,12,1,4,0,20,0,1,13,1,1,16,0,0,1,6
ENSG00000010626,0,1,0,3,0,13,1,1,23,4,0,1,0,0,3
ENSG00000010671,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000010704,34,2,0,0,4,24,1,15,1,24,9,0,0,21,1
ENSG00000010803,17,1,31,72,18,11,13,16,15,21,39,9,1,41,22
ENSG00000010810,76,40,40,140,44,90,50,116,234,197,125,121,15,127,112
ENSG00000010818,0,0,1,0,1,0,0,11,0,0,0,1,0,0,0
ENSG00000011007,22,27,21,30,33,19,33,12,27,36,48,1,0,24,24
ENSG00000011009,21,21,16,59,42,73,32,44,91,84,49,65,4,47,38
ENSG00000011021,4,0,21,7,0,12,1,6,41,23,24,5,4,25,21
ENSG00000011028,41,4,1,12,0,6,6,31,18,33,15,15,0,24,21
ENSG00000011052,646,516,402,1312,849,1891,654,1326,1863,2025,1690,1649,328,1647,1377
ENSG00000011105,15,4,8,15,13,25,21,19,56,49,31,18,2,21,13
ENSG00000011114,10,8,2,2,4,1,1,2,10,14,2,4,1,10,1
ENSG00000011132,0,6,0,9,7,1,1,0,1,11,2,1,0,9,2
ENSG00000011143,18,2,0,1,2,4,3,14,2,10,1,3,0,1,1
ENSG00000011198,30,0,10,43,30,19,18,30,1,12,7,10,1,21,24
ENSG00000011201,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000011243,0,4,0,1,0,11,1,1,9,1,16,13,0,1,0
ENSG00000011258,0,0,0,1,6,4,0,0,11,10,10,1,0,0,1
ENSG00000011260,7,30,4,8,21,19,12,17,45,52,10,12,1,14,17
ENSG00000011275,13,4,10,25,6,19,4,8,18,8,24,13,0,4,9
ENSG00000011295,8,8,0,28,15,36,13,16,8,28,22,24,0,0,20
ENSG00000011304,305,233,163,449,273,483,250,260,443,419,380,342,67,368,209
ENSG00000011332,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
ENSG00000011347,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000011376,24,20,13,34,28,12,17,0,0,17,17,30,0,8,8
ENSG00000011405,50,30,12,14,25,16,12,14,74,27,45,25,1,27,23
ENSG00000011422,39,34,5,111,52,78,8,67,85,69,60,48,3,74,69
ENSG00000011426,47,32,27,44,38,36,31,9,21,42,24,21,0,4,12
ENSG00000011451,12,9,23,18,54,27,30,52,54,42,42,23,1,16,17
ENSG00000011454,4,6,10,2,13,5,17,12,17,21,9,7,1,9,18
ENSG00000011465,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0
ENSG00000011478,4,0,23,22,11,23,8,56,45,37,17,24,0,24,8
ENSG00000011485,27,20,15,26,34,23,31,32,19,39,26,22,0,27,14
ENSG00000011523,24,15,19,51,37,92,23,38,63,66,60,21,14,42,34
ENSG00000011566,6,0,2,0,6,0,0,1,6,0,24,9,0,0,1
ENSG00000011590,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000011638,15,60,24,29,42,19,13,10,45,31,30,62,0,55,0
ENSG00000012048,12,4,20,67,4,8,20,12,27,34,1,1,0,45,0
ENSG00000012061,49,90,28,81,43,154,40,145,173,181,173,117,24,110,98
ENSG00000012124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000012171,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ENSG00000012174,2,1,0,2,7,9,9,5,26,13,16,19,8,7,23
ENSG00000012211,1,0,0,1,1,3,3,0,4,0,3,2,0,6,1
ENSG00000012232,61,24,17,48,60,72,54,60,91,115,72,48,1,43,50
ENSG00000012660,75,75,38,105,86,143,86,147,178,161,163,129,11,145,126
ENSG00000012817,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000012822,22,21,10,24,22,18,7,10,39,38,24,23,1,25,17
ENSG00000012963,5,7,1,13,5,12,1,3,7,16,5,1,0,1,7
ENSG00000012983,15,0,20,24,23,23,9,21,45,15,30,13,0,20,3
ENSG00000013016,0,2,0,1,1,1,0,3,1,6,3,0,0,1,4
ENSG00000013275,80,102,60,179,153,125,85,80,136,185,164,102,20,99,100
ENSG00000013288,20,8,18,6,6,18,6,9,0,24,9,15,6,12,17
ENSG00000013297,272,141,123,283,247,168,199,154,360,312,215,194,23,181,131
ENSG00000013306,92,77,92,115,122,154,73,152,249,256,132,134,8,133,70
ENSG00000013364,54,27,37,47,47,35,26,28,52,44,46,26,5,31,20
ENSG00000013374,24,53,29,67,83,68,48,63,72,70,80,81,21,80,15
ENSG00000013375,88,74,32,65,34,39,7,54,94,135,92,54,28,49,21
ENSG00000013392,1,4,0,5,4,0,4,1,3,7,2,0,2,8,3
ENSG00000013441,44,36,6,55,23,100,0,6,13,1,29,48,10,40,23
ENSG00000013503,6,0,1,0,6,12,0,6,10,6,7,0,0,4,0
ENSG00000013523,28,1,0,1,0,22,5,17,16,5,1,16,5,16,1
ENSG00000013561,41,17,12,47,14,22,11,44,37,45,52,13,14,47,28
ENSG00000013563,28,13,11,10,24,34,8,35,34,101,45,39,3,60,25
ENSG00000013573,24,0,0,22,1,22,1,10,46,96,8,20,1,16,7
ENSG00000013583,29,11,10,23,18,37,9,20,41,37,40,22,3,17,17
ENSG00000013588,11,11,16,61,26,44,4,41,40,50,61,46,8,81,18
ENSG00000013619,1,0,0,1,8,38,0,1,12,0,0,1,1,1,0
ENSG00000013810,138,132,63,233,151,96,84,59,91,148,75,91,1,94,68
ENSG00000014123,11,3,9,15,23,8,11,15,14,23,12,22,2,15,17
ENSG00000014138,35,36,2,42,12,17,20,0,3,2,0,17,0,12,24
ENSG00000014164,1,0,0,0,1,2,0,0,2,5,2,1,0,0,2
ENSG00000014216,103,89,74,151,81,94,93,78,220,138,168,151,24,139,59
ENSG00000014641,120,74,60,162,137,211,95,101,160,195,148,108,28,154,144
ENSG00000014824,6,11,5,8,10,3,0,7,9,14,11,18,0,16,16
ENSG00000014914,1,10,1,1,1,0,0,0,10,0,15,13,0,0,4
ENSG00000014919,9,3,4,14,7,5,14,13,5,15,10,2,2,14,5
ENSG00000015133,18,2,0,0,7,9,18,1,1,12,1,0,1,0,2
ENSG00000015153,6,2,0,4,16,23,22,14,56,0,13,20,4,10,6
ENSG00000015171,57,21,41,67,44,55,87,12,49,14,41,38,1,58,48
ENSG00000015475,83,38,42,73,83,69,35,88,89,146,59,61,0,60,46
ENSG00000015479,155,113,82,252,142,116,145,159,170,196,164,125,18,95,72
ENSG00000015532,18,20,21,12,7,11,15,11,21,42,37,15,0,1,28
ENSG00000015568,6,0,4,11,7,9,7,7,13,17,18,16,0,9,5
ENSG00000015676,31,27,8,45,20,34,18,10,41,36,13,28,8,15,10
ENSG00000016082,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
ENSG00000016864,26,3,15,20,36,13,3,28,42,48,20,12,0,48,18
ENSG00000017260,14,33,2,20,28,52,15,41,116,148,75,85,20,86,12
ENSG00000017427,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ENSG00000017483,1,9,12,1,12,6,9,6,28,0,20,1,0,1,11
ENSG00000017797,43,46,34,60,31,42,49,39,98,127,59,56,1,59,23
ENSG00000018189,18,1,1,20,1,0,1,0,1,36,10,1,0,2,19
ENSG00000018280,0,0,0,2,1,1,0,0,3,2,0,2,0,0,1
ENSG00000018408,153,93,67,220,180,277,92,392,479,553,464,413,84,554,453
ENSG00000018510,102,90,41,48,53,62,81,78,126,96,124,108,1,79,72
ENSG00000018610,8,7,7,44,29,58,18,59,70,52,58,51,9,55,34
ENSG00000018699,1,6,14,24,6,12,4,10,8,4,1,4,1,4,10
ENSG00000018869,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0
ENSG00000019102,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0
ENSG00000019144,130,35,56,71,116,144,59,37,154,68,62,103,1,54,41
ENSG00000019485,2,3,1,2,2,1,1,1,4,5,1,0,0,0,0
ENSG00000019549,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
ENSG00000019582,0,0,0,0,10,4,0,20,31,0,15,17,0,1,4
ENSG00000019991,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000019995,2,4,2,4,2,5,0,0,2,12,10,2,1,3,1
ENSG00000020129,1,12,5,15,9,12,6,13,40,36,14,19,15,15,1
ENSG00000020181,10,4,10,4,24,12,12,8,26,10,17,20,1,6,6
ENSG00000020256,9,1,0,30,6,5,10,7,21,27,10,1,0,30,1
ENSG00000020426,8,21,22,19,8,53,8,23,24,36,19,42,1,14,23
ENSG00000020577,9,13,11,25,16,6,15,14,15,41,10,10,1,0,2
ENSG00000020922,4,5,21,1,19,24,3,24,30,8,19,6,2,3,6
ENSG00000021300,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ENSG00000021355,13,6,0,9,11,10,6,16,22,43,32,21,6,35,33
ENSG00000021574,36,12,21,24,2,1,1,0,1,10,18,0,0,18,10
ENSG00000021645,0,0,1,0,0,0,0,1,0,11,0,0,0,1,0
ENSG00000021762,12,6,0,12,5,16,20,23,11,0,28,15,0,9,5
ENSG00000021776,17,6,6,26,0,5,9,5,19,17,10,0,6,8,11
ENSG00000022267,83,16,11,60,48,30,54,0,54,30,10,0,0,48,34
ENSG00000022277,35,73,34,82,43,125,31,74,102,107,129,70,12,107,114
ENSG00000022556,0,1,1,9,3,4,2,0,3,1,8,1,1,5,2
ENSG00000022567,0,0,0,1,0,0,0,25,11,6,1,17,0,11,6
ENSG00000022840,135,73,97,146,223,86,109,109,110,121,79,122,28,104,114
ENSG00000022976,16,1,0,7,15,1,0,1,1,0,12,0,1,0,11
ENSG00000023041,46,28,22,144,73,108,28,119,109,242,160,180,46,118,126
ENSG00000023171,0,2,1,0,0,1,4,0,0,0,0,0,0,1,4
ENSG00000023191,159,87,52,163,107,173,100,178,195,276,218,113,22,139,132
ENSG00000023228,24,27,6,35,28,47,20,21,64,28,36,27,1,17,23
ENSG00000023287,10,5,4,0,4,10,10,1,16,6,12,0,0,0,27
ENSG00000023318,67,54,37,70,94,83,30,75,142,229,85,105,50,179,60
ENSG00000023330,10,7,9,20,7,36,8,26,47,25,53,21,0,18,17
ENSG00000023445,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
ENSG00000023516,3,2,0,0,1,2,1,2,0,2,3,3,0,8,1
ENSG00000023572,32,14,5,28,26,45,14,40,74,68,77,43,6,34,64
ENSG00000023608,3,4,1,9,3,0,1,2,1,5,7,4,0,5,1
ENSG00000023697,28,14,2,40,14,26,6,19,59,16,27,7,9,22,15
ENSG00000023734,144,98,49,151,118,93,85,100,156,239,105,134,8,165,82
ENSG00000023839,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0
ENSG00000023902,54,59,36,78,102,60,110,54,78,96,76,57,18,51,73
ENSG00000023909,24,18,18,38,12,15,15,34,20,40,22,2,0,18,11
ENSG00000024048,18,0,0,6,4,8,0,4,12,14,19,4,0,4,0
