gene_id,gene_name,isoform_id,isoform_switch_q_value,gene_switch_q_value,dIF,consequences
ENSG00000135441,BLOC1S1,ENSG00000135441_iso1,0.004103814,0.042282113,0.747386968,ORF_shortening
ENSG00000145741,BTF3,ENSG00000145741_iso1,0.002882131,0.00828837,0.795718808,transmembrane_affected;ORF_lengthening
ENSG00000134717,BTF3L4,ENSG00000134717_iso1,0.031028102,0.072293823,0.214310552,NMD_affected
ENSG00000110696,C11orf58,ENSG00000110696_iso1,0.002405056,0.088509628,0.214449345,Domain_gain;NMD_affected;transmembrane_affected
ENSG00000111678,C12orf57,ENSG00000111678_iso1,0.020599042,0.006539285,0.773228006,NMD_affected
ENSG00000104979,C19orf53,ENSG00000104979_iso1,0.002519426,0.032446261,0.54273367,transmembrane_affected
ENSG00000160014,CALM3,ENSG00000160014_iso1,0.04806912,0.060687803,0.369203253,ORF_shortening;signal_peptide_affected;Domain_loss
ENSG00000153048,CARHSP1,ENSG00000153048_iso1,0.044885209,0.074213741,0.339704751,ORF_shortening;NMD_affected;ORF_lengthening
ENSG00000108691,CCL2,ENSG00000108691_iso1,0.004765048,0.027755424,0.424161459,Domain_loss
ENSG00000085063,CD59,ENSG00000085063_iso1,0.014375432,0.079110156,0.415621302,NMD_affected;Domain_gain;ORF_lengthening
ENSG00000135404,CD63,ENSG00000135404_iso1,0.013454995,0.076011215,0.618868206,NMD_affected;ORF_lengthening
ENSG00000070831,CDC42,ENSG00000070831_iso1,0.022443968,0.059749014,0.420730806,NMD_affected
ENSG00000100526,CDKN3,ENSG00000100526_iso1,0.022013764,0.056953281,0.160588089,ORF_lengthening
ENSG00000122873,CISD1,ENSG00000122873_iso1,0.004562743,0.025121576,0.139487061,NMD_affected;Domain_loss
ENSG00000226248,CLIC1,ENSG00000226248_iso1,0.011652518,0.081858593,0.223270621,signal_peptide_affected;transmembrane_affected
ENSG00000230685,CLIC1,ENSG00000230685_iso1,0.017233453,0.081998512,0.583499911,Domain_gain;signal_peptide_affected;Domain_loss
ENSG00000223639,CLIC1,ENSG00000223639_iso1,0.018486033,0.030107821,0.555185204,ORF_lengthening
ENSG00000226651,CLIC1,ENSG00000226651_iso1,0.022969068,0.010568073,0.489780651,NMD_affected
ENSG00000226417,CLIC1,ENSG00000226417_iso1,0.024057652,0.069944635,0.192727504,Domain_loss
ENSG00000206394,CLIC1,ENSG00000206394_iso1,0.043621966,0.050371576,0.583314325,transmembrane_affected;signal_peptide_affected
ENSG00000143771,CNIH4,ENSG00000143771_iso1,0.028605251,0.082493246,0.49130711,ORF_shortening;Domain_loss
ENSG00000168275,COA6,ENSG00000168275_iso1,0.039688997,0.013195491,0.116049686,Domain_gain;transmembrane_affected
ENSG00000148444,COMMD3,ENSG00000148444_iso1,0.024088954,0.095977069,0.611183691,NMD_affected
ENSG00000168090,COPS6,ENSG00000168090_iso1,0.002384358,0.060662064,0.43012033,signal_peptide_affected
ENSG00000172428,COPS9,ENSG00000172428_iso1,0.044765066,0.077773336,0.138004852,NMD_affected
ENSG00000131143,COX4I1,ENSG00000131143_iso1,0.008149776,0.069661022,0.576163778,NMD_affected;ORF_shortening;ORF_lengthening
ENSG00000291596,COX5B,ENSG00000291596_iso1,0.002775506,0.07445382,0.621114514,NMD_affected;signal_peptide_affected;ORF_lengthening
ENSG00000135940,COX5B,ENSG00000135940_iso1,0.007988498,0.022109229,0.578583237,Domain_gain;transmembrane_affected
ENSG00000111775,COX6A1,ENSG00000111775_iso1,0.010986154,0.031854611,0.679806077,Domain_loss
ENSG00000126267,COX6B1,ENSG00000126267_iso1,0.022344839,0.075424367,0.549573881,Domain_loss;NMD_affected;transmembrane_affected
ENSG00000112695,COX7A2,ENSG00000112695_iso1,0.04670671,0.002306261,0.506878921,Domain_loss
ENSG00000127184,COX7C,ENSG00000127184_iso1,0.005845396,0.021681157,0.1564361,signal_peptide_affected;Domain_gain
ENSG00000214756,CSKMT,ENSG00000214756_iso1,0.046389576,0.006571975,0.556187129,Domain_gain;NMD_affected;transmembrane_affected
ENSG00000160213,CSTB,ENSG00000160213_iso1,0.020692425,0.098638068,0.590605004,ORF_shortening;Domain_gain
ENSG00000150316,CWC15,ENSG00000150316_iso1,0.04332652,0.080020585,0.585026149,Domain_loss;signal_peptide_affected
ENSG00000129562,DAD1,ENSG00000129562_iso1,0.045003282,0.076017926,0.461888608,ORF_lengthening
ENSG00000155368,DBI,ENSG00000155368_iso1,0.049070913,0.02058124,0.19899685,transmembrane_affected;signal_peptide_affected
ENSG00000140995,DEF8,ENSG00000140995_iso1,0.021333919,0.077435577,0.725251553,ORF_shortening;transmembrane_affected
ENSG00000137038,DMAC1,ENSG00000137038_iso1,0.020762183,0.050071443,0.522183759,ORF_lengthening;ORF_shortening
ENSG00000125971,DYNLRB1,ENSG00000125971_iso1,0.044366317,0.075999546,0.401725047,Domain_loss;ORF_lengthening
ENSG00000146425,DYNLT1,ENSG00000146425_iso1,0.010992347,0.056673105,0.184408127,Domain_gain;ORF_lengthening
ENSG00000114942,EEF1B2,ENSG00000114942_iso1,0.015219066,0.002616429,0.709973957,NMD_affected;ORF_lengthening
ENSG00000283391,EEF1B2,ENSG00000283391_iso1,0.031211159,0.049612952,0.760762735,Domain_loss;transmembrane_affected;ORF_shortening
ENSG00000173812,EIF1,ENSG00000173812_iso1,0.040359212,0.048329266,0.197474462,ORF_shortening;ORF_lengthening;signal_peptide_affected
ENSG00000282986,EIF3K,ENSG00000282986_iso1,0.021521211,0.09001794,0.321734358,NMD_affected;Domain_loss
ENSG00000178982,EIF3K,ENSG00000178982_iso1,0.043247218,0.088459161,0.487663231,ORF_shortening;Domain_loss
ENSG00000120533,ENY2,ENSG00000120533_iso1,0.044461227,0.05086001,0.736139556,ORF_shortening;ORF_lengthening;Domain_gain
ENSG00000171311,EXOSC1,ENSG00000171311_iso1,0.041060922,0.057388173,0.348138312,transmembrane_affected;Domain_loss
ENSG00000170323,FABP4,ENSG00000170323_iso1,0.013340246,0.026938441,0.651138935,Domain_gain
ENSG00000164687,FABP5,ENSG00000164687_iso1,0.018982049,0.066681975,0.350909572,transmembrane_affected;Domain_gain;NMD_affected
ENSG00000149806,FAU,ENSG00000149806_iso1,0.007652295,0.075647543,0.756165768,transmembrane_affected
ENSG00000214253,FIS1,ENSG00000214253_iso1,0.027625842,0.042351551,0.268530917,Domain_loss
ENSG00000089327,FXYD5,ENSG00000089327_iso1,0.009442405,0.018374665,0.246453156,Domain_gain
ENSG00000170296,GABARAP,ENSG00000170296_iso1,0.006846642,0.067998027,0.785275095,transmembrane_affected;NMD_affected
ENSG00000034713,GABARAPL2,ENSG00000034713_iso1,0.032713851,0.066232146,0.763180529,Domain_gain;ORF_lengthening
ENSG00000111640,GAPDH,ENSG00000111640_iso1,0.030137724,0.002883771,0.664588604,transmembrane_affected;ORF_shortening
ENSG00000167468,GPX4,ENSG00000167468_iso1,0.004325159,0.028890015,0.369381362,Domain_gain
ENSG00000148834,GSTO1,ENSG00000148834_iso1,0.007479377,0.019457176,0.641680812,NMD_affected
ENSG00000084207,GSTP1,ENSG00000084207_iso1,0.031538571,0.037122806,0.300998455,Domain_gain;Domain_loss;signal_peptide_affected
ENSG00000140307,GTF2A2,ENSG00000140307_iso1,0.019416761,0.028587164,0.667001504,Domain_gain
ENSG00000272047,GTF2H5,ENSG00000272047_iso1,0.044705497,0.096936912,0.669039629,ORF_lengthening;signal_peptide_affected
ENSG00000155115,GTF3C6,ENSG00000155115_iso1,0.017148224,0.095864299,0.201517481,ORF_shortening;Domain_gain;Domain_loss
ENSG00000164032,H2AZ1,ENSG00000164032_iso1,0.032066648,0.065059108,0.473076058,ORF_lengthening
ENSG00000163041,H3-3A,ENSG00000163041_iso1,0.043632144,0.085073358,0.284267828,ORF_shortening;Domain_loss
ENSG00000169567,HINT1,ENSG00000169567_iso1,0.0397155,0.069577916,0.704926957,transmembrane_affected;signal_peptide_affected;NMD_affected
ENSG00000189403,HMGB1,ENSG00000189403_iso1,0.037665959,0.054295525,0.208800612,signal_peptide_affected;Domain_gain
ENSG00000230989,HSBP1,ENSG00000230989_iso1,0.031095712,0.018750688,0.612013786,ORF_shortening;Domain_loss
ENSG00000109971,HSPA8,ENSG00000109971_iso1,0.009516891,0.092289821,0.718211305,Domain_loss;transmembrane_affected;ORF_lengthening
ENSG00000106211,HSPB1,ENSG00000106211_iso1,0.011843521,0.007185352,0.287031089,transmembrane_affected
ENSG00000115541,HSPE1,ENSG00000115541_iso1,0.031288619,0.064559067,0.689010335,signal_peptide_affected;transmembrane_affected
ENSG00000242028,HYPK,ENSG00000242028_iso1,0.008013496,0.01435393,0.749240092,transmembrane_affected;ORF_lengthening;Domain_loss
ENSG00000275214,IFI27,ENSG00000275214_iso1,0.036532679,0.037665666,0.711066537,Domain_gain;Domain_loss
ENSG00000185201,IFITM2,ENSG00000185201_iso1,0.006674905,0.047325383,0.322765135,ORF_lengthening;signal_peptide_affected
ENSG00000142089,IFITM3,ENSG00000142089_iso1,0.005790314,0.035235072,0.751485195,ORF_shortening
ENSG00000189159,JPT1,ENSG00000189159_iso1,0.04112923,0.045434244,0.635925937,ORF_lengthening;signal_peptide_affected
ENSG00000116586,LAMTOR2,ENSG00000116586_iso1,0.041597851,0.036333721,0.131417825,transmembrane_affected;ORF_lengthening
ENSG00000100097,LGALS1,ENSG00000100097_iso1,0.025946371,0.039123799,0.101358678,transmembrane_affected;Domain_gain;signal_peptide_affected
ENSG00000232119,MCTS1,ENSG00000232119_iso1,0.015646908,0.07927584,0.27804436,ORF_lengthening
ENSG00000108590,MED31,ENSG00000108590_iso1,0.048440444,0.028132402,0.445279474,ORF_shortening;signal_peptide_affected;NMD_affected
ENSG00000008394,MGST1,ENSG00000008394_iso1,0.024972715,0.036258955,0.216591855,Domain_loss
ENSG00000143198,MGST3,ENSG00000143198_iso1,0.043238415,0.035550071,0.501603368,transmembrane_affected;ORF_lengthening;ORF_shortening
ENSG00000172172,MRPL13,ENSG00000172172_iso1,0.045799047,0.082352052,0.258808229,NMD_affected
ENSG00000112110,MRPL18,ENSG00000112110_iso1,0.018312837,0.079629508,0.7920608,NMD_affected
ENSG00000108826,MRPL27,ENSG00000108826_iso1,0.024726775,0.044887294,0.620225014,transmembrane_affected;Domain_loss;ORF_shortening
ENSG00000106591,MRPL32,ENSG00000106591_iso1,0.008020748,0.05087027,0.476305552,ORF_shortening;signal_peptide_affected
ENSG00000055950,MRPL43,ENSG00000055950_iso1,0.04388179,0.061893654,0.463520124,transmembrane_affected;ORF_lengthening
ENSG00000136522,MRPL47,ENSG00000136522_iso1,0.036339394,0.041818022,0.71955147,transmembrane_affected
ENSG00000111639,MRPL51,ENSG00000111639_iso1,0.040730976,0.061572091,0.116373296,ORF_lengthening;NMD_affected;Domain_gain
ENSG00000116898,MRPS15,ENSG00000116898_iso1,0.049025415,0.064283878,0.720520747,signal_peptide_affected;NMD_affected
ENSG00000125148,MT2A,ENSG00000125148_iso1,0.019387571,0.072088552,0.71950655,Domain_gain;NMD_affected;ORF_shortening
ENSG00000101608,MYL12A,ENSG00000101608_iso1,0.018899539,0.049986831,0.234902956,NMD_affected
ENSG00000118680,MYL12B,ENSG00000118680_iso1,0.016982803,0.090742194,0.207634281,Domain_gain
ENSG00000092841,MYL6,ENSG00000092841_iso1,0.046500297,0.004535194,0.662857435,ORF_lengthening;ORF_shortening;Domain_gain
ENSG00000187109,NAP1L1,ENSG00000187109_iso1,0.02024489,0.089766726,0.269183052,NMD_affected;signal_peptide_affected;transmembrane_affected
ENSG00000184752,NDUFA12,ENSG00000184752_iso1,0.015775641,0.02407519,0.41361393,NMD_affected;ORF_shortening;Domain_loss
ENSG00000004779,NDUFAB1,ENSG00000004779_iso1,0.00315245,0.097567963,0.365366189,Domain_loss;transmembrane_affected
ENSG00000164182,NDUFAF2,ENSG00000164182_iso1,0.01982836,0.062128961,0.612710488,ORF_shortening;Domain_loss;signal_peptide_affected
ENSG00000140990,NDUFB10,ENSG00000140990_iso1,0.000888294,0.04180534,0.274476629,ORF_shortening;ORF_lengthening
ENSG00000291930,NDUFB10,ENSG00000291930_iso1,0.029617346,0.0543405,0.210341809,signal_peptide_affected;Domain_loss;NMD_affected
ENSG00000147123,NDUFB11,ENSG00000147123_iso1,0.01242289,0.074892553,0.145567128,ORF_lengthening;Domain_gain
ENSG00000065518,NDUFB4,ENSG00000065518_iso1,0.01929285,0.037185539,0.156262343,NMD_affected;ORF_shortening;Domain_gain
ENSG00000136521,NDUFB5,ENSG00000136521_iso1,0.008971617,0.097743758,0.480358179,transmembrane_affected;ORF_lengthening;Domain_gain
ENSG00000166136,NDUFB8,ENSG00000166136_iso1,0.010319063,0.038506399,0.375895878,transmembrane_affected;NMD_affected;ORF_lengthening
ENSG00000147684,NDUFB9,ENSG00000147684_iso1,0.044248331,0.04904635,0.19157039,NMD_affected;Domain_loss;ORF_shortening
ENSG00000151366,NDUFC2,ENSG00000151366_iso1,0.049047546,0.062026043,0.385606126,ORF_lengthening;Domain_gain;transmembrane_affected
ENSG00000164258,NDUFS4,ENSG00000164258_iso1,0.03893839,0.027911381,0.746003566,signal_peptide_affected
ENSG00000110717,NDUFS8,ENSG00000110717_iso1,0.036987142,0.097639649,0.229331963,Domain_gain;Domain_loss;ORF_shortening
ENSG00000178127,NDUFV2,ENSG00000178127_iso1,0.024686944,0.091622062,0.154547806,Domain_gain;signal_peptide_affected
ENSG00000285246,NEDD8,ENSG00000285246_iso1,0.036711867,0.068235077,0.632067081,NMD_affected;transmembrane_affected
ENSG00000129559,NEDD8,ENSG00000129559_iso1,0.03987762,0.092889305,0.445425893,NMD_affected
ENSG00000239672,NME1,ENSG00000239672_iso1,0.019825383,0.076811793,0.290478739,Domain_gain;Domain_loss;ORF_lengthening
ENSG00000011052,NME1-NME2,ENSG00000011052_iso1,0.019973468,0.071946867,0.427117515,signal_peptide_affected;Domain_gain;Domain_loss
ENSG00000243678,NME2,ENSG00000243678_iso1,0.034784119,0.052498866,0.37554485,Domain_loss;ORF_shortening
ENSG00000291996,NOP10,ENSG00000291996_iso1,0.049889569,0.026907463,0.184388216,Domain_loss;transmembrane_affected;ORF_shortening
ENSG00000119655,NPC2,ENSG00000119655_iso1,0.035502309,0.037089461,0.75533235,signal_peptide_affected;Domain_gain
ENSG00000181163,NPM1,ENSG00000181163_iso1,0.008763381,0.047734575,0.462227465,Domain_loss
ENSG00000181019,NQO1,ENSG00000181019_iso1,0.041837008,0.008889976,0.779858177,Domain_loss
ENSG00000198856,OSTC,ENSG00000198856_iso1,0.005208608,0.03760793,0.485990231,Domain_gain;transmembrane_affected;Domain_loss
ENSG00000116288,PARK7,ENSG00000116288_iso1,0.013950388,0.051891195,0.756083356,ORF_lengthening;transmembrane_affected
ENSG00000105185,PDCD5,ENSG00000105185_iso1,0.033479672,0.095353666,0.65017996,signal_peptide_affected;ORF_lengthening;Domain_gain
ENSG00000186184,POLR1D,ENSG00000186184_iso1,0.006163782,0.041449905,0.7367769,Domain_gain
ENSG00000132963,POMP,ENSG00000132963_iso1,0.003657564,0.028960876,0.468218481,ORF_shortening;NMD_affected
ENSG00000166794,PPIB,ENSG00000166794_iso1,0.048826843,0.041934467,0.513019727,ORF_lengthening
ENSG00000123131,PRDX4,ENSG00000123131_iso1,0.03673689,0.094835776,0.315268559,ORF_shortening;Domain_loss;ORF_lengthening
ENSG00000126432,PRDX5,ENSG00000126432_iso1,0.006119513,0.018849325,0.484816346,Domain_gain;NMD_affected;ORF_shortening
ENSG00000117592,PRDX6,ENSG00000117592_iso1,0.035937408,0.098710769,0.578012633,Domain_gain
ENSG00000205352,PRR13,ENSG00000205352_iso1,0.006196314,0.048777812,0.11382946,NMD_affected;Domain_loss;transmembrane_affected
ENSG00000106588,PSMA2,ENSG00000106588_iso1,0.000866784,0.012328454,0.564222355,ORF_shortening;Domain_gain;transmembrane_affected
ENSG00000100567,PSMA3,ENSG00000100567_iso1,0.02412542,0.019601086,0.545343685,Domain_gain
ENSG00000041357,PSMA4,ENSG00000041357_iso1,0.04476978,0.096525508,0.143534786,transmembrane_affected;NMD_affected
ENSG00000100902,PSMA6,ENSG00000100902_iso1,0.037263229,0.035598258,0.154833209,Domain_gain;ORF_lengthening
ENSG00000101182,PSMA7,ENSG00000101182_iso1,0.042122551,0.021745791,0.7598403,signal_peptide_affected;ORF_lengthening;ORF_shortening
ENSG00000126067,PSMB2,ENSG00000126067_iso1,0.020762753,0.012830453,0.317757478,ORF_lengthening;Domain_gain;NMD_affected
ENSG00000277791,PSMB3,ENSG00000277791_iso1,0.019831552,0.018987363,0.387425447,Domain_gain;ORF_shortening;ORF_lengthening
ENSG00000275903,PSMB3,ENSG00000275903_iso1,0.041710806,0.025776364,0.68894593,NMD_affected
ENSG00000159377,PSMB4,ENSG00000159377_iso1,0.00126359,0.025267658,0.447634757,Domain_loss
ENSG00000100804,PSMB5,ENSG00000100804_iso1,0.014483677,0.003959715,0.731696751,Domain_gain
ENSG00000142507,PSMB6,ENSG00000142507_iso1,0.012690624,0.008415096,0.229609459,Domain_loss
ENSG00000136930,PSMB7,ENSG00000136930_iso1,0.003595119,0.047779677,0.491513163,ORF_lengthening
ENSG00000164611,PTTG1,ENSG00000164611_iso1,0.002274961,0.093636583,0.683269937,signal_peptide_affected
ENSG00000103769,RAB11A,ENSG00000103769_iso1,0.033054126,0.047632224,0.212409681,NMD_affected;Domain_loss
ENSG00000204628,RACK1,ENSG00000204628_iso1,0.027306912,0.020870228,0.380659681,signal_peptide_affected;ORF_shortening
ENSG00000100387,RBX1,ENSG00000100387_iso1,0.046369154,0.00792032,0.335586087,ORF_lengthening;Domain_loss
ENSG00000129625,REEP5,ENSG00000129625_iso1,0.038565243,0.00182187,0.755954149,signal_peptide_affected;ORF_shortening
ENSG00000157916,RER1,ENSG00000157916_iso1,0.025756009,0.075532501,0.242995473,NMD_affected
ENSG00000129538,RNASE1,ENSG00000129538_iso1,0.041124601,0.048625768,0.634498299,signal_peptide_affected;transmembrane_affected
ENSG00000219200,RNASEK,ENSG00000219200_iso1,0.020822581,0.030288386,0.113215819,transmembrane_affected;Domain_gain
ENSG00000161939,RNASEK-C17orf49,ENSG00000161939_iso1,0.015689198,0.049564786,0.134084813,ORF_shortening;ORF_lengthening
ENSG00000147403,RPL10,ENSG00000147403_iso1,0.007724231,0.004665091,0.333392916,ORF_shortening;signal_peptide_affected;transmembrane_affected
ENSG00000198755,RPL10A,ENSG00000198755_iso1,0.017996165,0.036389106,0.331377277,NMD_affected;ORF_lengthening
ENSG00000197958,RPL12,ENSG00000197958_iso1,0.006214837,0.092931058,0.596244728,transmembrane_affected
ENSG00000188846,RPL14,ENSG00000188846_iso1,0.009993907,0.082478371,0.648160039,Domain_gain
ENSG00000174748,RPL15,ENSG00000174748_iso1,0.006827883,0.031328443,0.382615788,signal_peptide_affected;ORF_lengthening;Domain_gain
ENSG00000265681,RPL17,ENSG00000265681_iso1,0.042278252,0.0998751,0.739441151,ORF_lengthening
ENSG00000063177,RPL18,ENSG00000063177_iso1,0.022168414,0.022556429,0.23919667,transmembrane_affected;signal_peptide_affected
ENSG00000105640,RPL18A,ENSG00000105640_iso1,0.03184175,0.035809291,0.38190682,transmembrane_affected;Domain_gain;Domain_loss
ENSG00000108298,RPL19,ENSG00000108298_iso1,0.011382844,0.03257375,0.247450781,Domain_loss;transmembrane_affected;ORF_shortening
ENSG00000122026,RPL21,ENSG00000122026_iso1,0.029562568,0.033168205,0.171111129,Domain_gain;ORF_lengthening
ENSG00000163584,RPL22L1,ENSG00000163584_iso1,0.029671715,0.037357883,0.208386713,Domain_gain
ENSG00000125691,RPL23,ENSG00000125691_iso1,0.019265644,0.092269927,0.21673324,Domain_loss;transmembrane_affected;Domain_gain
ENSG00000198242,RPL23A,ENSG00000198242_iso1,0.044966302,0.060454935,0.339492561,ORF_shortening;signal_peptide_affected;Domain_gain
ENSG00000161970,RPL26,ENSG00000161970_iso1,0.00514209,0.000366209,0.598670806,transmembrane_affected
ENSG00000131469,RPL27,ENSG00000131469_iso1,0.039700857,0.072274376,0.235561794,Domain_loss;NMD_affected
ENSG00000166441,RPL27A,ENSG00000166441_iso1,0.037152293,0.024581051,0.720472338,ORF_shortening;Domain_gain;ORF_lengthening
ENSG00000108107,RPL28,ENSG00000108107_iso1,0.004526896,0.042371552,0.129191112,Domain_gain;Domain_loss;NMD_affected
ENSG00000156482,RPL30,ENSG00000156482_iso1,0.013929799,0.038126283,0.694470181,ORF_shortening;NMD_affected
ENSG00000071082,RPL31,ENSG00000071082_iso1,0.025990285,0.092713959,0.780947521,ORF_lengthening;signal_peptide_affected
ENSG00000109475,RPL34,ENSG00000109475_iso1,0.029194649,0.086030204,0.357316039,signal_peptide_affected
ENSG00000182899,RPL35A,ENSG00000182899_iso1,0.004145981,0.003311029,0.315912638,signal_peptide_affected;ORF_lengthening
ENSG00000145592,RPL37,ENSG00000145592_iso1,0.02168532,0.078103742,0.386385552,transmembrane_affected;ORF_shortening
ENSG00000174444,RPL4,ENSG00000174444_iso1,0.049695251,0.095689181,0.440843687,Domain_loss;signal_peptide_affected
ENSG00000229117,RPL41,ENSG00000229117_iso1,0.042154499,0.094433041,0.620170603,ORF_lengthening;Domain_gain
ENSG00000122406,RPL5,ENSG00000122406_iso1,0.039038861,0.06255475,0.562906386,NMD_affected;signal_peptide_affected
ENSG00000089009,RPL6,ENSG00000089009_iso1,0.019455889,0.053543429,0.471340262,signal_peptide_affected
ENSG00000147604,RPL7,ENSG00000147604_iso1,0.014767126,0.017775788,0.461238375,Domain_gain;NMD_affected;transmembrane_affected
ENSG00000280858,RPL7A,ENSG00000280858_iso1,0.028284605,0.068005988,0.732967496,ORF_shortening;Domain_gain
ENSG00000148303,RPL7A,ENSG00000148303_iso1,0.047765161,0.067210726,0.524921767,Domain_gain;ORF_lengthening;Domain_loss
ENSG00000137818,RPLP1,ENSG00000137818_iso1,0.038280965,0.067553382,0.286033147,Domain_loss;Domain_gain;NMD_affected
ENSG00000177600,RPLP2,ENSG00000177600_iso1,0.04359468,0.062870034,0.660128077,NMD_affected
ENSG00000142534,RPS11,ENSG00000142534_iso1,0.036824688,0.093536538,0.426772481,transmembrane_affected
ENSG00000110700,RPS13,ENSG00000110700_iso1,0.03651519,0.073928086,0.273522541,ORF_shortening
ENSG00000134419,RPS15A,ENSG00000134419_iso1,0.028997451,0.075489333,0.517684701,NMD_affected
ENSG00000105193,RPS16,ENSG00000105193_iso1,0.026778081,0.040822597,0.684892984,ORF_lengthening
ENSG00000278229,RPS17,ENSG00000278229_iso1,0.004664511,0.043232248,0.58735312,Domain_loss;ORF_shortening;NMD_affected
ENSG00000182774,RPS17,ENSG00000182774_iso1,0.043529976,0.042318762,0.653134567,Domain_loss
ENSG00000231500,RPS18,ENSG00000231500_iso1,0.005549028,0.029693923,0.783269911,signal_peptide_affected;Domain_gain;ORF_lengthening
ENSG00000223367,RPS18,ENSG00000223367_iso1,0.028563722,0.010369907,0.127769917,ORF_shortening
ENSG00000235650,RPS18,ENSG00000235650_iso1,0.040256525,0.098349181,0.209389229,signal_peptide_affected
ENSG00000096150,RPS18,ENSG00000096150_iso1,0.046640522,0.099054548,0.668775187,transmembrane_affected
ENSG00000008988,RPS20,ENSG00000008988_iso1,0.038956118,0.040825775,0.551531741,ORF_lengthening;Domain_loss;Domain_gain
ENSG00000138326,RPS24,ENSG00000138326_iso1,0.043190465,0.015493548,0.477091058,signal_peptide_affected
ENSG00000118181,RPS25,ENSG00000118181_iso1,0.018117284,0.093479794,0.645459043,transmembrane_affected;NMD_affected;Domain_gain
ENSG00000280831,RPS25,ENSG00000280831_iso1,0.043369842,0.068964582,0.664898022,Domain_loss;signal_peptide_affected
ENSG00000177954,RPS27,ENSG00000177954_iso1,0.025011158,0.070764146,0.663535454,ORF_lengthening;signal_peptide_affected;Domain_gain
ENSG00000143947,RPS27A,ENSG00000143947_iso1,0.000842449,0.021212322,0.628129479,ORF_lengthening
ENSG00000185088,RPS27L,ENSG00000185088_iso1,0.021717064,0.027448803,0.401478679,signal_peptide_affected;Domain_loss;transmembrane_affected
ENSG00000233927,RPS28,ENSG00000233927_iso1,0.023045784,0.04136896,0.508991991,Domain_loss;transmembrane_affected;ORF_shortening
ENSG00000213741,RPS29,ENSG00000213741_iso1,0.04801453,0.069229383,0.533430914,Domain_loss;NMD_affected;signal_peptide_affected
ENSG00000149273,RPS3,ENSG00000149273_iso1,0.045011012,0.015304187,0.123917356,Domain_gain;transmembrane_affected
ENSG00000145425,RPS3A,ENSG00000145425_iso1,0.019172172,0.017894446,0.392006098,ORF_shortening;Domain_loss;NMD_affected
ENSG00000292158,RPS3A,ENSG00000292158_iso1,0.045858517,0.018253585,0.473245288,Domain_gain;ORF_shortening
ENSG00000083845,RPS5,ENSG00000083845_iso1,0.015783298,0.01503871,0.1299755,NMD_affected;transmembrane_affected;ORF_lengthening
ENSG00000137154,RPS6,ENSG00000137154_iso1,0.028615563,0.051082115,0.580112741,ORF_shortening
ENSG00000171863,RPS7,ENSG00000171863_iso1,0.013995138,0.066558433,0.164444703,Domain_loss;ORF_lengthening;ORF_shortening
ENSG00000142937,RPS8,ENSG00000142937_iso1,0.046155168,0.01786652,0.298126408,transmembrane_affected
